stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,glial,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,48.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.29,0,3.88,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,46.12,5.5,4.96,0,3.51,0
 14-21,0,0,0,0,0,1.25,3.6,0,0,0,0,23.94,0,0,4.77,190.94,0
 24-34,0,0,0,0,0,0,3.72,0,0.63,0,0.74,35.7,0,0,0,333.11,0
 36-46,0,0,0.92,0,0,14.59,2.41,0,0,0,0,63.54,0,0,0,471.42,0
 48-58,0,0,0,0,0,37.55,9.82,0,2.1,1.15,0.51,40.52,0,0,0,295.53,0
 60-70,0,0,0,0,0,14.85,4.53,0,0.78,11.65,0,36.37,0,0,0,162.16,0
 72-82,0,0,0,0.5,1.94,10.7,4.23,0,0,4.1,0,10.84,0,0,0,98.85,4.49
 84-94,0,0.66,0,7.34,4.89,6.3,4.51,0,1.19,0,0,26.01,0,0,0,64.07,0
 96-106,0,0,0,0,15.55,12.97,0,0,0,0,0,7.99,0,0,0,41.21,0
108-118,0,0,0,0,81.32,1.12,1.15,0.42,3.48,0,0,12.23,0,0,0,3.71,0
120,0,0,0,0,11.34,0,0,0,0,0,0,43.41,0,0,0,20.33,0
