stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,36.95,117.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.99,0,0,0,0,0,0,0
  5-6,39.26,92.52,0,0,0,0,0,0,0,0,25.08,0,0,0,0,0,0,0,0,0,15.81,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,51.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.53,74.43,0,0,13.03,0,0,0,0,0,0,0,0
 10-12,0,9.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.64,7.25,0,0,32.55,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.95,3.11,0,8.05,0,0,3.88,0,0,0,0,0.93,0,0,0,0,2.77,146.9,6.33,8.71,0,0,0,87.2,0,5.19,0,0,0,0
 24-34,0,0,0.84,0,2.9,0,20.36,0,1.83,0.89,0,0,0,0,13.88,0,1.38,0,0,0,1700.43,0,206.84,0,0,0,83.98,1.24,11.87,0,0,1.83,0
 36-46,0,0,0,0,20.31,0,14.05,0,3.47,2.46,0,0.57,0,0,8.99,0,8.57,0,0,15.25,2031.31,0,263.22,0.58,0,0.6,81.03,0,23.04,0,0,0,6.22
 48-58,0,0,0,0,33.47,0,42.6,6.73,5.03,0,0,1.44,0,0,4.57,0,16.01,1.44,0,46.36,1099.22,5.29,79.71,0,0,2.19,47.93,0,15.41,0,0,1.31,0
 60-70,0,0,0,0,51.8,0,28.43,5.74,0.7,0.59,0,0,0,0,3.43,0,12.11,0,0,28.79,729.82,0,27.85,0,0,0,52.25,0,7.49,0,0,7.38,0
 72-82,0,0,0,0,43.7,0,24.87,4.43,0.66,7.12,0,0,0,0.78,0.6,0,6.85,0,2.84,10.47,371.25,0,20.72,0,0,0.51,38.84,0,0,0,0,0,0
 84-94,0.62,0,0,0,26.5,0,30.36,0,0.57,1.97,0,0,0.67,0.64,0.89,0.82,5.18,0,0,5.37,338.3,0,49.27,0,0,0,164.47,0,0,1.17,0,0,0
 96-106,0,0,0,0,21.42,0,30.55,0.77,1.86,2.69,0,0,0.88,0,4.79,0,1.27,0,0,9.84,207.11,0,68.36,1.07,0,3.96,88.81,0,0.98,0,0,0,0
108-118,0,0,0,0,18.17,1.29,6.09,0,0.47,2.75,0,0,0,0,0,1.54,7.06,0,0,6.26,264.59,0,59.53,0,0,0,124.46,0,0,0,0,0.55,0
120,0,0,0,0,15.96,0,12.77,0,4.35,0,0,0,3.5,6.33,0,0,7.55,0,0,2.85,273.53,4.62,43.83,0,0,0,54.89,0,0,0,2.24,0,0
