stage,axial,blastomeres,endocrine.pancreas,endoderm,erythrocytes,eye,glial,gut,hatching.gland,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,88.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,40.92,0,0,0,0,0,0,0,0,0,0,0,6.07,0,7.71,0,0,0,0,0,0
  7-9,5.61,6.96,0,3.79,0,0,0,0,4.72,0,0,0,48.17,3.62,0,11.45,0,0,0,0,0,0
 10-12,0,0,0,5.52,0,0,0,0,0,0,0,0,83.28,0,0,17.34,0,10.89,5.05,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.02,12.22,0,0,0,2.37,0,0,2.12,0,0
 24-34,0,0,0,0,1.21,0.7,0,0.91,0,0.69,0,3.69,7.54,0,0,0,0,0,0,4.86,0,0
 36-46,0,0,0,0,0,1.78,0,0,0,0,3.22,0,6.62,0,0,0,0,0,0,2.13,1.01,0
 48-58,0,0,0,0,0,2.93,0,0,0,0,0,0,11.09,0,1.15,0,0,0,0,4.36,0,0.42
 60-70,0,0,0,0,0,1.16,0,0,0,0,2.98,0,3.03,0,1.1,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.06,0.56,0,0,0,1.33,0,1.87,0,0,0,0,0,0,6.74,0,0
 84-94,0,0,0,0,0,0,0.75,0,0,0,0,0,2.86,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,3.74,0,0,0,4.08,0,4.89,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,4.82,2.81,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0
120,0,0,4.32,0,0,0,1.73,0,0,0,0,4.12,21.88,0,0,0,0,0,0,0,0,0
