stage,eye,glial,hatching.gland,muscle,neural
 36-46,0,0,4.57,0,1.13
 60-70,0,0.84,0,0,0
 72-82,0,2.5,0,0,0
 84-94,0,0,0,0.55,0
 96-106,0,4.64,0,0.59,0
108-118,1.52,2.32,0,0.55,0
