stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.86,0,0.82,0,1.08,0,0,0,0,0,0,0,0,0,0,10.69,0,0,0,0,0,0.9,0,2.98,0,0,0,0
 24-34,0,0,0,3.34,0,2.59,0,0,0,0,0,0,0,0.9,0,0,32.32,0,1.72,0.62,0,0,0,0,10.49,0,0,0,0
 36-46,0,0,0,6.88,0,0,0,0,0,0,0,0,0,1.87,0,0,94.55,0,6.74,0,0,8.09,0,0,38.64,0,0,0,0
 48-58,0,0,0,37.35,0,3.91,0,0.44,0,0,0,0,0,4.13,0.47,0,145.27,0,3.8,0,0,0.39,0,0,22.52,0,0.84,0,10.16
 60-70,0,0,0,102.38,0,13.34,0,0,0,0,0,0,0,0.82,0,0.66,112.11,0,0.89,0,0,0,0,0,25.04,0,0.67,0,0
 72-82,0.9,0,0,286.75,0.78,20.72,1.24,0,0,0,0,0,0,13.69,0,2.48,284.17,0,10.8,0,0.87,0,0,0.64,39.78,0,0,0,5.2
 84-94,0,1.47,5.35,346.9,0,28.83,0,0,0,0,0,1.32,0,17.86,0,0,287.25,0,7.15,0.55,0,3.05,0,0,20.95,0,1.85,0,0
 96-106,0,1.47,0,370.49,0,27.86,2.73,0,0.57,0,0,0.75,0.67,10.21,0,2,212.62,0,1.92,0,0,1.64,0,1.12,11.28,0,0,1.1,0
108-118,0.52,0.45,1.18,472.96,0,44.9,0,0,0,0,0.83,0,0,25.84,0.62,0,295.7,0.48,8.07,0,0,0.45,0,0,19.89,1.37,2.89,0,0
120,0,0,0,301.06,0,20.34,0,0,0,1.48,0,0,0,18.02,2.76,2.57,202.99,0,26.37,1.02,0,1.02,0,0,11.55,0,0,0,0
