stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,22.65,162.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,75.9,434.78,0,0,0,0,0,0,0,0,26.83,0,0,0,0,240.32,7.03,0,0,36.93,13.85,0,0,0,0,0,0,0,0
  7-9,70.34,30.79,0,45.38,0,0,4.33,0,0,0,19.77,0,0,0,0,153.94,85.42,0,0,594.62,0,7.8,0,0,0,0,0,0,0
 10-12,0,0,0,10.88,0,0,0,0,0,0,32.49,0,0,0,0,6.94,24.23,0,0,121.95,0,0,0,11.29,0,0,0,0,0
 14-21,0,0,0,0,1.02,4.01,0,0,0,1.01,1.8,0,3.22,0,0,8.65,0,0,0,3.91,0,0,27.79,1.05,0.93,1.69,0,0,0
 24-34,0,0,0.61,0,0,0,0,0,0,0,0,0,0.81,0,0,5.88,0,1.88,0,0,0.73,0,0,0,0,0,0,0.79,0
 36-46,0,0,0,0,0,0,0.57,3.59,0,0,0,0,0,0,0,25.35,0.68,5.64,0.59,0,0,0,0,0,0,0,0,1.67,0
 48-58,0,0,0,0,0,0,3.19,0,0.81,0,0,0,0.39,0,0,20.82,0,0.73,0,0,1.97,0,0,0,0,6.93,0,1.56,0
 60-70,0,0,0,0,0,0,0,0,1.16,0,0,1.94,3.15,0,0,22.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.63,0,9.25,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,1.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,21.39,0,0,0,0,4.94,0,0,0,0,0,0.69,1.01,0
 96-106,0,0,0,0,0,0,0,0,5.45,0,0,1.55,2.11,3.24,1.7,9.78,0,0.92,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.24,0,1.85,0,0,0,0,0.9,1.19,0,0,12.01,0,2.27,2.94,0,0.79,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74
