stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.31,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,233.67,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,11.82,2.33,0,7.41,17.58,0,0,0,0,0,0,3.41,4.27,0,7.5,3.26,0,0,0,0,0
 24-34,0,0.99,508.96,0,2.61,0,20.3,0.71,0,0,0,0,0,0.68,0,0,1.54,0,70.07,7.72,0,14.32,67.99,0,0,1.68,0,0,0,0,21.45,0.62,0.99,1.12,0,0,0,0,0
 36-46,0,0,623.71,1.12,9.4,0,29,6.88,0,1.3,0,6.94,0,0,0.71,0,0,0,197.79,6.12,0,7.65,59.15,0,0,5.22,0,0,13.33,0,15.4,0,0,4.63,0,0,0,0,0
 48-58,0,0,671.1,0.45,38.19,0,141.77,73.8,2.85,0,0.57,5.96,0,0,1.96,0,0,4.77,395.25,4.18,1.35,38.58,77.05,2.32,0,3.81,0,0,2.29,0,3.08,0,0,7.54,0,0,0,0,3.98
 60-70,0,0,533.53,0,53.93,1.92,93.54,160.05,1.88,0,0,38.05,0,0,0,14.16,0,0,1129.94,4.53,1.35,43.75,107.42,0,0,8.71,0,0,0,0,1.76,0,0,1.05,1.22,0.63,3.01,1.96,11.98
 72-82,0.79,0,344.8,5.03,115.29,16.33,84.59,222.71,14.09,1.42,0,31.85,0,0,0,0,0,0,2244.55,12.62,23.09,81.18,184.39,0,0.49,9.52,0,0,0.53,0,0.55,0,0,2.85,0,23.87,0.6,8.89,0
 84-94,0,0,440.73,1.26,140.49,16.29,136.31,86.63,6.81,0,0,26.13,1.03,0.59,0,0,0,0,1646.34,1.19,10.74,52.23,45.99,2.13,0.7,12.69,0,4.76,1.03,0,0,0,0,5.23,0,10.01,5.81,4.63,0
 96-106,2.96,1.07,251.06,16.3,99.02,35.75,85.79,198.7,11.48,2.16,0,23.61,0,1.05,0.8,4.51,1.45,0,2491.01,4.51,33.2,33.86,161.14,8.41,0,9.84,0,0,14.78,0,0,0,0,1.28,0,61.64,0.57,8.85,0
108-118,0,0,314.76,0,96.77,29.5,49.5,128.14,13.64,1.35,0,14,2.54,5.58,0,4.45,0,0,3043.33,1.09,35.18,52.3,198.42,0,0.42,14.21,0,2.26,4.1,0,0.79,0,0,0,1.03,19.57,3.12,5.16,0
120,0,0,284.85,0,52.62,62.48,47.97,189.32,15.33,2.61,0,38.36,0,0,0,3.39,0,0,3615.29,3.49,120.23,12.4,288,0,0,31.48,0,0,5.86,0,2.12,0,0,11.27,0,102.32,2.73,0,0
