stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.43,101.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.29,40.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.67,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,31.01,0,0,0,13.07,0,3.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,7.43,0,0,18.48,0,8.3,0,4.78,0,0,0,0,0,0,0,0
 14-21,0,0,2.13,13.21,0.84,0,0,0,0,0,0.81,0,0,0,1.16,0,0,0,0,8.74,0,0,3.5,96.1,4.09,0,0,0,0,0,0.88,0,0,1.84,29.93,0,0,0,0,0
 24-34,0,0,2.42,0.83,0,0,1.49,0,0,1.05,0,0,0,0,0,0,0,8.12,0,21.19,0,0,0,302.94,0,1.57,0,0,0,0,0,1.77,0,0.61,104.18,0,0,0,0,0
 36-46,0,0,3.16,0,0.76,0,14.45,0,0,11.07,0,0,0,0,0,0,0,0,0,17.33,0,0,2.91,768.97,0.88,0,0,0,0,0.65,0,0.74,0,0,139.48,0,0,0.6,0,0
 48-58,0,0,1.51,0,0,0,46.89,1.18,0.44,15.71,0,0,0,0,0,0,0,0,6.25,29,0.59,0,5.88,1307.32,0,1.79,0.42,0,0,2.05,0,0,0,0,106.88,0,1.02,4.44,0,0
 60-70,0,0,0,7.67,0,0,122.21,0,0,10.55,0,0,0,0,1.82,0,0,1.77,6.38,28.5,0,2.51,3.78,1859.55,0,0,1.97,0,0,11.52,0,0,0,0,116.53,0,3.18,0.71,0,6.22
 72-82,0,0,0.53,0.96,8.38,0,328.29,2.3,3.04,55.64,1.56,0,11.7,1.13,0,0.52,0,5.32,0,49.92,0,7.56,4.65,2206.27,1.97,3.93,8.95,0,0,0,0,6.44,0,0,153.41,0.88,2.36,13.52,0,9.22
 84-94,0,0,0,8.16,2.44,0,223.02,0,0.83,31.4,0,0,4.33,0,0,0,0,0,0,30.92,0,2.46,1.88,1358.26,0,1.66,3.88,0,1.31,0.97,0,0.73,0.57,0,71.75,0,2.16,3.51,1.36,6.59
 96-106,0,0,1.53,8.37,8.57,0,467.81,0,0,53.19,0,0,2.28,0,0,0,0,1.54,0,51,0,2.05,4.89,1131.06,0,0,1.14,0,0,11.88,0,0,3.56,0,62.52,0,0,6.04,2.25,0
108-118,0,0,0,9.8,1.97,2.65,280.4,0.56,0,90.44,0,0,2.64,3.3,1.05,0,0.47,0,0,38.62,0,1.72,11.7,1602.94,0,0.42,9.9,0,1.55,0,0,0,0,0,75.7,0.44,0.86,3.26,0,0
120,1.12,0,8.73,36.52,0,0,328.08,0,0,62.56,3.32,0,0,1.69,1.65,0,0,2.38,0,70.64,0,28.53,1.03,2708.19,0,0,6.34,0,9.36,0,0,0,0,0,189.2,0,0,46.41,2.27,0
