stage,blastomeres,eye,fin_mesenchyme,glial,liver,mesenchyme,mural_cell,neural,spinal_cord,vasculature
  3-4,11.57,0,0,0,0,0,0,0,0,0
  5-6,9.73,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,5.59,0,0
 36-46,0,1.03,0,4.01,0,0,0,26.72,0.67,1.85
 48-58,0,1.36,0,3.93,0,0.46,0,22.39,0.38,0
 60-70,0,2.51,1.21,10.56,0,0.63,0,14.7,0,1.47
 72-82,0,1.35,1.27,3.1,0,1.8,0,5.43,0,0
 84-94,0,0.64,0,1.15,0,8.84,0,15.62,0,0
 96-106,0,2.13,0,7.97,0,2.25,0.62,12.25,0,0
108-118,0,2.29,0,6.92,3.11,7.76,0,24.08,0,1.85
120,0,2.46,0,3.34,0,1.72,0,14.91,0,13.5
