stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,61.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,66.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.59,6.61,0,0,0,0,0,16.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.26,10.15,0,0,49.39,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.97,0,4.52,0,0,0,43.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.03,10.62,0,0,66.07,0,0,0,0,6.24,0,0,0,0,0,0,0
 14-21,0,0,0,0,44.04,31.7,0,100.6,0,0.87,0,14.95,1.58,0,0,0.87,0,0,0,0,35.81,0,0,9.5,499.59,15.17,1.04,2.71,2.68,0,0,2.16,5.57,1,0,9.69,81.63,0,1.07,0,0.87
 24-34,0,0,0,5.43,23.22,41.63,0,302.41,0,0.7,0,2.74,0.68,0,0,5.59,9.95,0.63,2.36,3.21,42.23,0,0,16.45,859.62,1.31,2.45,6.67,1,0,0.8,0,0,0.61,0,2.16,105.28,0,17.72,0,26.21
 36-46,0,0,0,0,6.62,2.29,0,216.7,0,0.56,0.57,15.71,0.57,0.99,0,1.63,0,0.71,8.83,3.12,34.16,0,0,12.52,380.79,9.19,0.6,3.73,0,0,6.83,3.42,0,1.18,0,0,53.77,0,4.51,0,15.53
 48-58,0,0,0,0,5.75,9.67,0,193.17,2.34,0.69,5.39,54.53,0.99,0,0,3.66,0,1.27,0.49,3.04,25.32,0,1.72,3.19,280.99,4,0.46,16.84,0,0,1.21,0.84,0,0,0,0,39.23,0,3.61,0,0.85
 60-70,0,0,0,0,11.04,2.79,0,141.73,0,14.53,4.26,215.59,1,0,0,0,0,0.73,2.76,0,29.92,0,10.35,4.32,246.33,0,0,21.57,0,0,4.96,0,0,0,1.33,0,13.94,0,0,0,0
 72-82,0,0,0,0,9.13,5.37,1.04,75.36,0,0.51,3.96,412.33,42.9,0,0,0.5,2.22,0.55,74.22,0,30.45,0,5.16,2.88,183.44,0,1.78,67.82,0,0,2.3,0,0,5.57,2.09,0,6.67,2.5,0,1.37,0
 84-94,0,0,1.15,0,17.77,9.93,0,102.88,0.7,0,1.95,510.57,94.64,0,1.62,9.92,0,0.71,288.14,0,41.03,0,1.99,11.07,208.33,0,0,47.43,0,0,9.36,0,0,12.11,0,0,13.88,2.53,0.62,4.35,2.81
 96-106,0,0,3.22,0,7.01,19.34,3.41,125.77,0,1.54,2.96,588.93,315.6,0.65,0.83,1.8,0,3.87,391.26,0,47.75,0,4.94,3.41,167.43,0,1.08,57.76,0,2.27,7.83,0,0,2.28,0,0,5.43,0,3.91,0.8,0
108-118,0,0,4.9,0,15.66,13.37,3.75,159.56,0,0.6,3.05,852.07,615.14,0,1.8,0.96,1.17,1.33,1580.59,0,54.44,1.71,1.98,10.1,341.85,1.34,0.6,61.85,0,2,5.01,0,0,0.59,0,0,3.05,0,2.15,0,0.6
120,2.23,0,0,0,8.96,17.1,0,73.35,0,2.34,3.22,787.63,449.37,0,9.94,0,0,2.07,125.53,0,41.76,0,2.47,6.03,230.26,16.67,0,76.01,0,3.42,3.79,0,0,0,0,0,0,0,4.69,6.13,4.74
