stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,154.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,184.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.82,10.55,0,3.87,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,0,51.28,9.79,0,0,44.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.06,8.11,0,0,47.36,0,0,13.21,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.04,2.72,0,0.84,0,0,55.4,0,0,0,0,0,0,1.68,0,0,29.42,3.6,2.4,0,5.94,0,5.83,7.65,0.95,4.27,144.72,0,0,1.02,0,0
 24-34,0,0,0.67,0,2.83,0,0,2.47,0,0,60.88,0,0,0,0,0,1.2,7.04,0,3.08,45.87,1.49,4.12,8.16,0,9.05,0,9.81,0,4.44,81.21,0,0,0.69,0,0
 36-46,0,0,0,0,1.32,0,0,2.29,0.69,0.79,34.64,0,0,0,0,2.01,0,3.1,1.31,0,52.34,0,9.72,0,0,10.63,0,8.4,8.76,0,41.04,0,0,0,0,2.84
 48-58,0,0,0,0,0.53,0,0,23.83,0,0,32.26,0,0,0,0,0.48,0,2.92,8.15,2.5,38.67,0,18.22,4.59,0,0,0,3.73,0,0,47.14,0,0,0,0,0.63
 60-70,0,0,0,0,4.62,0,0,7.67,0,0,34.21,0,0,0,0,0,0,4.13,1,1.41,39.92,0,12.7,1.01,0,2.1,0,2.23,0,0,13.18,0,0,0,0,0
 72-82,0,0,1.28,0,0,0,0,13.12,0,1,34.57,0,0,0.92,0,1.12,1.08,23.41,6.51,2.33,33.25,0,25.54,4.07,0,4.26,0,0.86,0,0,3.74,0,0,3.75,0,0
 84-94,0,0,2.22,0.74,13.46,0,0,10.67,0,0.67,12.42,5.11,0,0.67,4.17,1.91,0,22.46,7.19,1.79,19.47,4.93,47.83,10.83,0,0,0,1.86,0,0,18.14,0,0,0,1.57,0
 96-106,0,0,0,1.07,0.71,5.59,0,2.86,0,0,26.42,0.74,0.99,1.29,4.32,8.05,3.94,14.02,0,0,56.72,0,48.61,12.9,0,0,0,4.71,0,0,9.22,0,0,1.88,1.53,0
108-118,0,0,2.91,0,11.59,0,1.99,6.78,0.58,0.43,39.56,1.23,0,0,0,2.88,0.88,17.7,1.56,2.26,68.17,0.42,11.87,7.72,0,0,0,0.58,0,0,16,0,1.23,6.37,3.87,2.29
120,0,0,1.22,0,4.88,0,0,29.17,2.08,0,31.58,12.19,0,3.69,1.91,11.86,0,11.84,0,0,22.1,0,35.91,45.4,0,0,0,6.86,0,0,26.85,4.15,0,0,8.22,0
