stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,20.66,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,20.82,0,0,0,0,0,0,13.82,0,0,0,0
 24-34,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,312.95,0,10.67,0,0,0,0,43.03,0,0,0,0
 36-46,0,0,0,0,0,92.5,0,0,3.53,0,0.64,0,0,0,0,0,0,0,764.58,0,0,0,0,0,0,132.3,0,0,0,0
 48-58,0,0,0,4.48,0,217.23,2.58,0,13.82,0,0,0,0,0,0,9.34,0,0,824.57,0,1.48,0,0,0,0,115.98,0,0,0,0
 60-70,0,0,0,7.58,0,817.6,0,0,9.91,0,0,0,0,0,10.18,7.15,0,0,1023.97,0,1.19,0,0,0,2.26,153.9,0,0.57,0,0
 72-82,0,0.58,0,6.01,1.69,972,0,0,5.07,0,0,0,0,5.32,0,2.68,0,0,1058.46,0,6.4,0,1.77,0,0,80.6,0,0,0.56,0
 84-94,0,0.66,0,8.52,0,549.47,0,0,25.5,1.31,0,1.56,0,0,0,3.5,1.67,0,450.84,3.01,4.72,5.48,0,2.48,0,66.63,0,0,0.82,0
 96-106,0,0,0,3.34,0,362.36,0,0,13.64,0,0,0,0,0.7,0,2.74,0,0,239.21,0,7.57,0,0,0,0,21.96,0,0,0,0.75
108-118,0,0,0,4.65,1.13,403.75,0,0,7,0.8,0,0,0,0,0,5.82,0,0,469.15,0,4.18,2.03,0,0,0,20.47,0.91,0,0,0
120,0,6.91,0,13.93,0,429.03,0,1.58,34.26,0,0,0,3.65,0,0,22.22,0,6.89,827.23,0,12.85,6.46,0,5.58,2.39,10.42,0,0,0,0
