stage,endoderm,eye,fast.muscle,glial,melanocytes,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,7.01,0,0,0,0,0,0
 10-12,10.52,0,0,0,0,0,0,16.83,0,5.62,0,8.97,0,0
 14-21,0,0,0,1.06,0,0,0,0,0,0,0,0,1.11,0
 24-34,0,0,0,0,0,0,0.61,0,0,0,0,0,0,2.46
 36-46,0,0,0,0,0,0,0,13.8,0,0,0,0,0,10.84
 48-58,0,2.35,0,0,0,0,0,1.28,0,0,3.26,0,0,1.87
 60-70,0,0,0,0,0,0,0,2.41,0,0,0.94,0,0,0
 72-82,0,0.77,0,1.72,0,1.46,0,3.75,0,0,0,0,0,0
 84-94,0,0,0,0,0.98,0,0,0,0,0,0,0,0,2.36
 96-106,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0
108-118,0,0,0.77,0.47,0,0,0,0,0.66,0,3.34,0,0,0
120,0,0,0,0,0,0,0,10.7,0,0,1.13,0,0,0
