stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.57,62.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,28.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,24.25,0,0,28.47,0,0,0,0,0,0,0,0,0,0,0,0,0,91.57,5.4,0,0,32.73,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,48.46,0,0,52.13,0,0,0,0,0,0,0,0,0,0,0,0,0,253.33,5.62,0,0,57.46,0,0,0,12.13,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,12.77,3.04,4.08,0,0,3.1,0,1.73,0,0,0,0,8.91,0,0,3.61,164.91,1.67,0,0,3.83,0,0,28.44,0,0,6.32,39.5,0,0.89,0,0
 24-34,0,0,0,0.68,5.02,0,15.12,0,0,4.31,0.68,0,0,0,0,0,13.01,0,0,7.31,217.5,0,0.67,10.61,0,0,0.89,0,0,0,3.04,54.13,0,3.65,0,1.96
 36-46,0,0,0,0,5.58,0,35.85,0,2.01,8.85,0,0,0,0,0,0,27.7,0,0,2.26,174.06,0,5.23,7.64,0,0,1.57,0,0,0,0,47.63,0,2.39,0,0
 48-58,0,0,0,0,0.37,0,38.27,0,4.03,25.94,0,0,0,0,0,0,26.29,0,0.46,3.79,124.39,0,4.23,5.83,0,0.61,0,0,0,0,0,34.86,0,2.94,0,1.34
 60-70,0,0,0,0,7.64,0.61,78.5,0,1.36,20.99,2.49,0,0,0,0,0,50.12,0,1.52,3.83,212.58,0,2.34,16.9,0,0,4.83,0,0,0,0,44.21,0,0,0,0
 72-82,0,0,0,0,2.56,0,57.29,0.78,1.41,12.7,0.65,0,0,0.83,0,0,45.75,0,1.1,2.01,152.08,0,2.63,37.41,0,0.8,0,0,0,0,0,28.25,1.57,1.38,0.52,14.12
 84-94,0,0,0,0,1.94,0,49.54,0,7.86,8.46,2.06,0.86,2.94,0,1.66,11.03,55.96,0,4.72,2.11,139.03,0.67,1.96,54.14,0,0,0,0,0,0,0,3.83,2.61,2.81,3.18,0
 96-106,0,0,0,0,3.53,0,29.17,1.22,2.35,15.99,1.1,0,1.61,0,2.18,1.45,45.03,2.09,3.41,7.31,114.05,0,4.98,81.87,0,0,0,0,0,4.28,0,8.12,0.92,4.51,3.42,0
108-118,0,0,1.03,0.74,11.63,0,41.41,0.46,5.32,19.71,3.63,0,1.06,0.64,1.23,0,45.55,0,3.57,3.17,227.54,1.29,3.5,57.92,0,0,0.92,0,0,0,0,27.96,0,1.61,4.3,0
120,0,0,0,0,4.59,0,28.32,0,0,24.35,0,0,0,0,5.54,0,16.57,0,0,1.91,148.64,0,3.36,91.49,0,0,2.37,0,0,0,0,9.43,0,0,1.43,0
