stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,neural,notochord,paraxial_mesoderm,somites,spinal_cord
  5-6,0,48.12,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.51,0,4.06,0,0,0,0,0,12.51,5.59,14.31,0,0
 10-12,0,0,10.85,0,0,0,0,0,3.47,0,5.29,0,0
 14-21,0,0,0,5.27,0.81,0,0.99,0,5.92,0,0,1.02,2.8
 24-34,0,0,0,0.83,0.8,2.25,0,0,22.08,0,0,0,1.63
 36-46,0,0,0,0,0,1.01,0,0,16.77,0,0,0,0.81
 48-58,0,0,0,0,2.27,1.86,0,1.5,31.99,0,0,0,0.77
 60-70,0,0,0,0,5.23,7.72,0,0,18.08,0,0,0,4.08
 72-82,0,0,0,0.76,12.94,2.18,0,0,26.75,0,0,0,0
 84-94,0,0,0,0,11.3,2.53,0,0,15.13,0,0,0,0
 96-106,0,0,0,0,5.5,0,0,0,25.51,0,0,0,0
108-118,0,0,0,0,22.25,0,0,0.65,7.63,0,0,0,0
120,0,0,0,0,0,0,0,5.99,0,0,0,0,0
