stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,79.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,133.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,70.95,0,0,0,12.91,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,0,46.6,0,0,0,16.37,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.07,27.01,5.17,0,11.18,0,0,1.2,0,0,0.9,0,0,0,5.52,0,4.32,42.68,0,0.86,0,6.54,0,13.92,25.13,0.87,0,18.36,16.39,0,0,2.24,0
 24-34,0,0.76,3.06,0,0,2.08,0,0.91,0,0.69,0,0.6,0,0.64,0,9.16,0,1.63,39.22,0.67,1.38,0.62,0,0,27.53,0,0,0,4.1,9.91,0,0,7.16,0
 36-46,0,0,11.51,0,0,1.61,0,0,0,0.69,0,0,5.9,0,0,10.47,0,1.86,24.88,0.55,1.39,1.68,0,0,12.42,0,0.7,0,0,1.85,0,0,9.24,0
 48-58,0,0,3.29,0,0,8.63,0,0,8.04,0,0,0,0,0,0,6.59,0,0,25.89,2.52,0,0,0,0,3.54,0,0,0,0,3.34,0,0,2.77,0
 60-70,0,0,1.42,0,0,5.88,0,2.96,0,0,0,0,0,0,0,2.24,1.82,0.99,14.31,0,1.42,0,0,0,19.85,0,0,1.01,0,4.4,6.41,0,1.05,0
 72-82,0,0,1.13,0,0,15.9,0,6.27,0.65,0,5.21,0,0,0,0,3.41,1.09,0,28.68,0,0,0,0,0,9.33,0,3.22,0,0,0,0,0,0.63,0
 84-94,0,0,0,0,3.74,2.93,0,2.83,0,1.22,0,0,0,0.61,0.65,1.44,0,0,13.9,0,0,0,0,0,18.43,0,0,0,0,2.86,0,0,0,0
 96-106,0,0,0.65,3.16,3.41,43.48,0,3.41,7,0,3.62,1.06,0.66,0,4.08,12.77,0,0,30.59,0,0,2.76,0,1.54,17.28,0,3.7,0,0,0,0.66,1.74,0,0
108-118,0,0,3.48,0.42,7.15,3.86,0.54,4.86,2.34,0.88,1.27,0,0,1.88,0.43,14.2,0,0,51.54,0,3.38,10.22,0,0,13.17,0,2.3,0.43,0,0,0,0,1.73,1.69
120,0,0,3.37,0,0,9.84,0,8.36,9.03,0,0,0,0,0,1.32,0,0,0,44.75,0,0,9.06,0,0,9.92,0,2.39,0,0,0,0,0,1.14,3.54
