stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,mucous,muscle,neural,otic,periderm,spinal.cord,vasculature
  5-6,9.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,20.4,0,0,0,0
 14-21,0,0,0,1.45,0,0,0,3.11,8.88,0,0,1.08,0
 24-34,0,0,0,0,0,0,0,0.83,1.92,0,1.06,0,0
 36-46,0,1.01,0,0,3.55,0.64,0.65,0,0,0,0,0,0
 48-58,0,0,1.18,0,0,0,0,0,0,0,0,0,0.49
 60-70,0,0,1.31,1.59,1.88,1.99,0,0,0,0,0,0,0
 72-82,0,0.64,0,0.56,0,0,0,0.84,0,0.66,0,0,0
 84-94,0,2.89,0,0,0,0,0,0,0,0,0,0.61,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0.67
108-118,0,0,0,0,0.55,0,0,0,0,0,0,0,0
120,0,0,0,0,0,8.23,0,0,0,0,0,0,0
