stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,308.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.1,0,0,0,0,0,0,0,0
  5-6,29.88,260.43,0,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,456.08,0,0,0,0,0,0,0,0
  7-9,41.21,15.66,0,0,0,0,0,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.3,0,0,0,14.27,0,57.76,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.32,0,0,0,3.38,0,18.1,0,12.5,0,0,0,0,0,0
 14-21,0,0,0,7.07,57.17,0,0,0.9,0,0,0,0.82,0,0,0,0,0,5.78,0,0,0,1.13,4.98,5.17,0,1.65,0,0,59.99,2.57,4.57,0.81,0,0,0,0,0
 24-34,0,0,0.8,5.03,101.23,0,0,1.4,0,0,1.64,3.79,0,0,0,3.47,3.21,8.02,1.48,0.69,0,1.16,59.67,29.86,8.11,0.98,0,0,141.54,0,10.87,11.46,0,0,6.05,0,0
 36-46,0,0,0,0,114.43,0,0,3.25,7.08,0,0,1.72,0.76,3.91,0,0,0,23.4,1.85,0.95,0,0,119.22,11.27,6.9,0.83,0,0,182.99,0,4.02,11.15,0,0,12.78,0,2.58
 48-58,0,0,0,0.42,50.94,0,0,7.46,16.82,0.99,0,8.44,2.07,1.46,0,0,0.38,2.62,3.2,3.31,0.53,0.45,63.28,15,5.73,1.32,0,0.4,80.29,0,0.61,0.96,0,0,6.65,0,0
 60-70,0,0,0,0,86.32,0,0,12.38,16.46,0,1.69,15.18,0.63,0.79,0,0,0,11.68,5.75,5.88,1.37,0.63,31.52,2.92,0,3.93,0,0,86.85,0,2.79,3.69,0,0,10.45,0,0
 72-82,0,0,2.05,0.56,60.24,0,0,1.47,18.24,0,3.39,12.32,1.02,0,0,0.53,3.79,2.88,13.66,5.59,7.65,0,37.94,2.35,0.53,4.8,0,5.04,72.35,0,0,0,0.5,0,29.4,0,0
 84-94,0,0,0.98,0,118.91,0,1.17,10.12,25.9,0,5.58,44.13,6.42,1.04,3.61,0.68,0,6.11,19.56,13.93,6.15,2.2,32.8,11.8,6.52,9.12,0,0.6,184.01,0,2.9,3.19,1.27,0.59,23.17,1.96,0
 96-106,0,0,0,1.03,140.11,4.6,3.28,22.3,13.24,1.02,4.58,49.89,0,0,0,3.89,12.31,31.43,18.76,18.63,0.62,2.88,33.84,3.94,4.54,6.23,0,2.77,180.98,0,3.24,17.29,2.87,0.92,16.95,0,0
108-118,0,0,0,0,182.41,0,16.28,3.94,41.81,0,5.56,53.41,0,1.78,4.04,5.13,7.28,12.21,32.51,2.08,7.51,0,28.27,4.79,6.53,12.64,0,1.07,173.66,0,1.44,0,4.52,4.45,19.84,4.54,2.97
120,0,0,0,0,188.27,0,0,8.05,22.56,0,10.48,79,0,0,6.93,2.6,1.04,25.8,14.9,14.26,7.51,0,20.14,6.29,6.19,7.73,0,12.66,178.32,0,5.99,0,3.2,0,51.95,9.85,0
