stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.65,56.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.08,299.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.93,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,0,0,35.4,0,5.98,80.75,0,0,0,0,9.68,0,0,0,0,0,0,0,0,0,0,0,535.97,19.54,0,0,198.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.99,0,83.04,0,0,48.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891.91,19.24,0,0,214.18,0,4.49,0,4.19,28.16,4.35,0,0,0,0,0,0
 14-21,0,0,0,1.09,78.8,8.06,28.57,1.82,0,29.92,0.98,0,0,0,0,0,0,0,0,47.48,0,0,29.38,355.31,10.84,7.78,5.86,14.29,0,2.52,5.86,46.24,6.19,34.46,152.3,0,0,1.71,0,0
 24-34,0,0,0.8,3.7,27.51,10.71,98.19,4.53,0.89,35.11,0.66,0,0.68,0.9,0.85,3.87,0.93,0,0,98.8,0,0,47.32,945.51,3.79,20.65,6.47,0,0,7.28,0,0,2.8,7.31,245.18,0,0,8.24,0,2.79
 36-46,0,0,0,0,11.67,1.4,227.2,0,3.41,40.7,0,0,0.73,0,0,0,0.57,0,0,106.12,0,2.18,21.53,658.21,0.82,11.41,2.83,0,2.85,1.79,0,0,9.7,0,163.52,0,0,2.13,0,4.19
 48-58,0,0,0,0,20.77,0,348.66,0,3.09,52.52,1.09,0,1.83,0,0,6.36,2.69,0,0,114.93,0,4.89,26.78,516.17,0.85,19.06,1.68,0,0.61,0,0,0,0.74,0,86.74,0,1.28,1.27,0,2.14
 60-70,0,0,0,0,7.41,0,496.63,4.09,8.15,44.35,0.65,0,0.9,4.79,0,4.51,1.44,0.87,2.64,112.62,0,2.88,16.37,504.94,0,12.1,2.66,0,4.39,0,0,0,0,0,62.05,0,2.76,4.09,0,0.97
 72-82,0,0,2.49,0,13.55,1.75,383.78,0.51,3.2,62.02,3.22,0,1.14,2.92,0,1.36,6.36,0,0,136.51,0,6.18,20.79,387.96,0,28.04,4.93,0,0,1.32,0,0,0,0,26.43,0,6.06,5.05,4.6,2.17
 84-94,0,0,2.1,0,15.81,0,320.42,4.26,4.17,48.81,5.15,0,0,14.87,1.49,2.88,5.41,0,0,107.82,0,3.35,20.43,258.26,0.94,13.55,5.98,0,0,10.83,0,0,0.7,0,23.53,0,1.57,1.77,6.72,2.86
 96-106,0,0,1.05,0,16.19,1.02,234.65,2.54,7.56,60.08,2.29,0,0,7.79,1.29,0.75,8.34,0,0,107.54,0,6.97,11.87,247.18,1.2,28.25,8.65,0,4.08,7.12,0,0,6.83,0,13.33,0,2.74,5.41,1.9,3.55
108-118,0,0,0.58,0,24.13,0.99,237.15,2.39,1.23,38.58,2.87,0,0.89,12.74,2.18,0,2.72,0.86,0.72,124.4,1.15,6.34,15.57,356.49,1.48,18.24,7.25,0,5.62,4.72,0,0,1.28,0,16.27,1.82,2.57,6.01,3.87,9.46
120,0,0,0,0,37.06,6.43,156.9,4.88,8.63,79.6,1.18,0,6.72,8.72,0,6.06,3.88,5.66,0,84.24,1.1,0,26.06,293.46,5.71,6.39,26.85,0,4.48,0,0,0,5.04,0,0,0,0,23.85,8.46,0
