stage,blastomeres,endoderm,muscle,neural,paraxial.mesoderm
  3-4,57.35,0,0,0,0
  5-6,52.45,0,0,0,0
  7-9,0,0,0,3.81,0
 10-12,0,7.61,3.87,19.76,6.24
