stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,27.42,0,0,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,60.9,0,0,0,37.47,0,0,0,0,0,0,0,0,0
 10-12,11.82,0,17.85,0,0,4.39,0,0,0,0,7.19,0,0,0,0,0,0,0,0,135.63,0,0,0,223.49,0,4.76,0,10.08,0,0,0,0,0
 14-21,0,1.07,0,63.45,0,5.18,0.87,0,3.3,0,0,0,0,0,0,6.97,0,0,4.28,79.61,2.82,0,0,0.97,0,35.89,0,20.55,28.04,0,0,1.23,0
 24-34,0,0,0,43.61,0,4.69,8,0,3.13,0.73,0,0,0,0,0,16.85,0,0,6.98,125.37,0.92,0,0,0,0,0,0.6,1.68,32.49,0,0,1.83,0
 36-46,0,0,0,71.78,0,4.72,7.58,0,4.26,0,0,0.81,0,0.91,0,20.99,1.26,0,4.67,120.11,1,0,6.48,0,0.67,0,0,0,21.32,0,0,0,0
 48-58,0,0,0,44.09,0,9.44,8.47,0.56,7.62,0,0,9.87,2.86,0.5,0,16.4,3.59,0,3.58,62.46,0,0.48,0,0,0,0,0,0,15.49,0,0,0,0
 60-70,0,0,0,61.15,0,18.86,26.58,0,14.17,0,0,10.87,12.19,0,0,15.7,2.59,0,1.61,34.95,0,0,0,0,6.23,0,0,0,5.85,0.98,0,0,0
 72-82,0,0,0,35.38,0.52,22.41,8.87,1.07,5.97,0.65,0.52,8.65,1.47,0.73,5.13,22.21,9.33,1.02,0,28.12,0,0.75,0,0,0,0,0,0,1.45,2.07,3.67,0,0.81
 84-94,0,0,0,44.92,0,24.61,25.18,0.67,1.97,0,0,10.16,0.84,0,0,22.68,22.53,0,0.86,19.16,0,0,3.51,0,1.38,0,0,0,0.94,5.02,0,0.58,0
 96-106,0,0,0,27.74,2.46,4.79,13.75,0.6,8.5,0,0,8.75,1.37,2.61,0,10,11.43,1.77,0,9.8,0,0.57,0,0,2.87,0,0,0,0,10.12,0,0,0
108-118,0,0,0,52.84,0,16.89,22.58,0,3.9,2.01,0,12.43,0.67,0,0,45.28,17.23,0,1.13,19.03,0,0,6.87,0,0.43,0,0,0,0,5.85,0,0,1.52
120,0,0,0,85.49,0,17.51,15.46,0,0,0,0,19.05,0,1.76,0,38.73,25.27,0,0,16.74,0,0,2.08,0,7.9,0,0,0,0,7.86,0,0,0
