stage,blastomeres,epidermis,eye,fin.epithelia,glial,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,12.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0.88,0,0,0
 24-34,0,2.41,0.6,0,0,0,0,0,0,7.72,0,0,0,0,3.04,0,0
 36-46,0,0,0,0,0,0,0,0,0,8.27,0.65,0,0,0,0.65,0,0
 48-58,0,0,0.73,0,0,0,0,0.75,0.51,5.57,0,0,1.07,0,0,0.49,0
 60-70,0,0,2.59,0,0,0,0.7,0.81,0,3.96,0,0,0,0,1.28,0.57,0
 72-82,0,0,1.59,0,0,0.61,0.67,1.2,0,1.29,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.28,0.91,0,0,0,0,0,0,0
 96-106,0,0,1.78,0,0,0,0,1.2,0,2.72,0,0,0,0,0,0,0
108-118,0,0,0,0.42,0.68,0,0,0,0,0,0,0.64,0,0,0,0,0.52
120,0,0,2.32,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0
