stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,268.33,6246.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.21,0,0,0,0,0,0,0,0,0,0
  5-6,224.34,3168.28,0,0,0,0,0,0,0,0,0,0,37.64,0,0,0,0,0,0,0,0,0,0,0,108.2,0,0,0,31.99,0,9.1,0,0,0,0,0,0,0,0,0,0
  7-9,96.25,154.49,0,144.48,0,0,0,374.6,0,0,0,0,69.07,0,0,0,0,0,0,0,0,0,0,0,2603.3,109.5,0,0,837.06,0,3.63,9.58,0,0,0,0,0,0,0,0,0
 10-12,3.8,96.13,0,90.64,0,25.76,0,220.94,0,0,0,0,14.52,0,0,0,0,0,5.32,0,0,0,0,3.87,3026.7,105.09,0,0,915.86,0,0,5.95,0,80.98,0,9.79,0,0,0,0,0
 14-21,0,0,0,8.68,59.45,9.77,0,28.53,0,0,8.08,1.29,0,0,0,0,0,0,3.71,0,31.49,0,0,16.63,495.06,25.13,1.09,1.38,14.24,0,3.05,1.58,49.8,2.22,1.74,31.91,120.06,0,0.9,0,3.56
 24-34,0,0,0,0,19.44,1.9,0,127.04,0,0,13.98,1.08,0,0.8,0,2.52,1.17,0.66,0.65,1.64,82.23,0,0.69,29.86,1071.94,3.62,8.39,3.51,0,1.61,11.85,0,0,0,0,9.75,200.83,0,15.46,0,0
 36-46,0,0,0,0,1.36,1.96,0,207.78,0,3.12,34.24,0.82,0,0,0,0.56,0,0.6,0.66,0,80.16,0,4.01,21.45,717.37,1.15,2.15,12.28,0,0,3.35,0,0,1.19,0,0,124.58,0,2.38,0,0.56
 48-58,0,0,0,0,14.48,0,0,244.8,0.49,1.34,41.31,1.51,0,0,1.91,0.48,0.39,0.41,0,0.6,80.34,0,3.57,17.5,361.8,6.22,1.18,0.99,0,0,0.39,0,0,0,0.73,0,87.15,0,3.15,0,0.84
 60-70,0,0,0,0,9.51,0,0,186.68,4.8,1.94,36.29,0,0,0,0,0,0,1.12,1.2,0,63.33,0,4.77,5.01,280.59,2.29,2.03,0,0,0,1.83,0,0,0,0,0,14.77,0.7,1.68,0,0
 72-82,0,0,0,0,9.11,0.59,0,92.79,0,0.54,24.31,2.1,0,1.17,0,0,0,0,0.74,0,60.46,0,5.72,11.76,165.2,1.67,2.91,3.55,0,0,0,0,0,0,0.53,0,4.24,0,2.77,0,0
 84-94,0,0,0,0,6.09,3.73,2.83,88.8,0,3.06,24.99,0.96,0,0,2.78,0,0,0.99,0,0,51.71,0,2.52,6.41,124.47,0,0.71,4.78,0,0,0.74,0,0,0,0,0,5.37,0,2.98,2.91,0
 96-106,0,0,0.94,0,3.77,0.98,0,58.36,0,1.01,17.7,4.45,0,0.79,1.53,0,0,0,0.76,0,41.06,0,0.93,7.42,117.56,0,1.96,1.39,0,0,3.87,0,0,0,0,0,1.09,1.25,0,0.68,0
108-118,0,0,0,0,7.86,4.44,0,68.63,0.6,2.5,18.43,4.1,0,0,4.18,1.02,0.44,0.43,0,0,29.98,2.46,2,10.24,157.15,0,0,0.77,0,0,3.52,0,0,0.99,0,0,0.47,0,2.82,0,0
120,0,0,0,0,21.84,12.11,0,110.43,1.65,1.82,42.04,0,0,0,4.17,0,0,0,5,0,34.73,0,0,10.32,279.37,2.06,0,2.11,0,15.95,1.13,0,0,3.89,0,0,3.72,0,4.74,0,0
