stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,46.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,6.75,0,0,0,0,0,0,0,0,0
 10-12,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,45.62,2.94,0,0,0,1.73,5.53,0,1.88,0,0,0,0,5.38,0,0,1.08,15.36,1.61,0.83,0,0,0,1.62,1.93,1.08,0,0,0,0,0
 24-34,0,0,0,4.01,0,2.69,0,0,1.89,0.68,0,0,0,0,0,0,7.68,0,0,0.95,91.33,0,0.69,0,0,0,0,0,5.62,0,0,0,0,1.89
 36-46,0,0,0,0,0,22.05,8.93,0,4.02,0,0,0,0,0,0,1.2,0,0,0,1.27,222.07,0,0.82,0.61,0,0,0,0,23.81,0,0,0,0,0
 48-58,0,0,0,3.7,0,82.13,6.55,0,11.53,0,0,0,0,0,0,0,3.43,0,0,2.99,566.21,0,0,0,0,0,1.33,0,29.65,0,0,0,0,0
 60-70,0,0,0,0,0.81,388.75,1.89,2.5,42.49,5.79,0,0,0,0,0.62,0,11.58,0,0.69,2.74,1333.56,0,0.98,0,0,2.91,2.41,0,55.99,0,0,0,0,1.82
 72-82,0,0,0.54,7.2,2.24,405.61,0.5,0.81,33.99,0.76,2.07,0,0,0,0,0,32.88,0,2.07,2.21,1519.68,0,1.25,1.21,0,0.75,0,0,38.24,0,0.63,1.94,0,13.68
 84-94,0,0,0,1.52,2.89,363.66,5.83,0,33,0.58,0,2.23,0,0,0,0,19.94,0,5.47,3.49,1007.03,0,0,0.61,0,1.06,1.23,0,28.16,1.01,1.22,7.19,0,11.63
 96-106,0,0,0,0.98,5.06,327.26,1.93,0,52.29,1.38,0,0,0,1.5,0,0,32.15,0,2.29,3.85,831.44,0,0.66,4.35,1.2,9.44,1.28,0,29.07,0,2.8,4.07,0.56,0
108-118,0,0,0,8.25,0,304.65,6.16,0,55.13,0,0,0,0.56,2.03,1.13,0,45.34,1.14,0,7.65,1149.28,0,0,2.46,0,0,0.59,0,14.48,0,0,0,1.05,0
120,0,0,0,18.57,4.84,245.47,23,0,61.44,6.71,0,0,0,0,0,0,21.29,0,2.35,0,1441.93,0,0,5.84,0,0,0,0,117.06,0,0,2.96,0,0
