stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  5-6,42.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,37.39,0,0,6.73,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,57.83,0,0,7,0,0,0
 14-21,0,1.87,0,0.91,0,0,0,1.72,0,0.98,17.63,1.81,0,0,0,2.91,0
 24-34,0,0.75,0,0.96,0,0,0,3.71,0,1.58,56.84,0,0,0,0.72,2.3,0
 36-46,0,0,0,1.31,0,0,0,4.69,0,0,115.02,0,0,0,0,3.92,0
 48-58,0,0,0,5.64,1.16,0,0,1.69,0,0,114.45,0,0,0,0,4.61,0
 60-70,0,0,0,8.03,0,0,0,0,0,1.13,98.26,0,0,0,0,0.72,0
 72-82,0,0,0,12.21,0,1.28,1.08,3.4,1.12,0,122.91,0,0,0,0,6.81,7.98
 84-94,0,0.57,1.63,1.23,0,0,0,0,0,0,60.64,0,0.63,0,0,0,0
 96-106,0,0,0,2.69,0,1.1,0,2.19,0,0,36.61,0,0,0,0,0,0
108-118,0,0,0,5.34,1.16,0.69,0,2.36,0,1.65,80.26,0,0,0,0,0.92,0
120,0,0,3.38,21.13,0,0,0,0,0,0,219.02,0,0,0,0,0,0
