stage,axial,blastomeres,eye,glial,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,0,10.33,0,0,0,0,0,0,0,0,0
  5-6,8.77,0,0,0,0,0,0,0,7.36,0,0
  7-9,0,0,0,0,0,7.15,5.59,22.11,5.78,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0
 14-21,0,0,0,0,0,1.25,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.08
 36-46,0,0,0,0,0,0,0,0,0,0,1.35
 60-70,0,0,1.49,1.86,0,0.6,0,0,2.45,0,6.78
 72-82,0,0,0,0,1.3,0,0,0,0,0,7.45
 96-106,0,0,6.79,0,0,0,0,0,0,0,0
108-118,0,0,3.41,0,0,8.01,0,0,0.47,0,1.43
120,0,0,0,0,0,0,0,0,1,0,0
