stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,31.12,816.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.26,0,0,0,0,0
  5-6,158.2,1869.12,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,85.81,8.7,0,0,64.68,33.82,0,0,0,0,0
  7-9,43.21,12.97,0,27.11,0,0,79,0,0,0,0,51.51,0,0,0,0,0,0,0,0,822.2,27.82,0,0,146.74,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,34.07,0,0,0,0,7.58,0,0,0,0,0,0,0,0,338.3,3.92,0,0,66.13,7.72,0,0,0,0,0
 14-21,0,0,1.11,0,15.83,2.09,1.03,0,0,0,0.87,0,0,0,0,0,0,0,2.68,0,23.35,0.83,0,1.26,2,4.33,13.99,1,4.81,9.51,1
 24-34,0,0,0,0,1.2,0,2.9,0,0,0,0,0,0,0.69,0,0,0,0.59,4.74,0.79,20.45,0,1.66,0,0,10.43,0,0,1.28,5.51,2.33
 36-46,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0.55,0.85,12.11,0,0,0,0,0,0,0,0,0.71,3.45
 48-58,0,0,0,0,0,0,9.61,0,0.45,0.43,0,0,0.71,0,0,0.45,0,0,1.98,0.54,8.17,0,1.22,0,0,2.22,0,0,0,0.93,0.45
 60-70,0,0,0,0,0,0,16.04,0,0,0,0,0,0,0,0,0,0,0,2.85,2.1,3.79,0,0,0,0,3.5,0,0,0,0,0.57
 72-82,0,0,0,0,0,0,7.94,0,0,0,0,0,0.89,0.53,0,0.79,0,0,0.72,0,8.2,1.26,1.13,0.88,0,0,0,0,0,0,2.37
 84-94,0,0,0,0,0,0,10.26,0,0,0,0,0,0,0.75,0.62,0,0,0,3.83,0.71,14.41,0,0,0,0,0,0,0,0,0,0.91
 96-106,0,0,0,0,0,0.95,0,0,0,3.59,0,0,0,2.51,0,0,0,0,0.77,0.58,0,0,0,0.59,0,0.92,0,0,0,4.01,0
108-118,0,0,0,0,0,0,7.24,1.04,0,2.71,0,0,0,2.06,0,0,0,0,0,0,4.13,0,0,0.57,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.08,1.31,0,19.34,0,0,3.06,4.83,0,0,3.92,0,0,0,8.88,0,0,0,0,0,0,0,0,0,1.09
