stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.95,0,9.15,0,0,0,0,0,0,0,0,0,0,3.48,4.03,0,0,175.19,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.49,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,1.25,70.65,0,0,0,0
 24-34,0,0.67,0,0.61,0,0.94,0,0,0.96,0,1.82,0,0,18.78,0.67,0,0,0,0,0,3.34,72.89,0,0,0,0
 36-46,0,0,0,0,0,4.3,0,0,0,0,0,1.13,0,65.25,0,0,0,0,0,0,0,41.58,0,0,0,0
 48-58,0,0,0,0,0,23.43,0,0,2,0,5.74,12.47,0.55,83.16,0,0,0,0,0,0,0,88.82,2.26,0,0,0
 60-70,0,0,0,2.42,0,37.49,0,0,0,0,22.73,40.73,0,172.84,0,0,10.68,0,0,0,0,52.9,24.29,0,45.47,0
 72-82,0,1.98,0,0,0,49.36,0,0,4.19,0,18.53,67.25,0.83,298.38,0,1.37,0,0,0,1.71,0,56.34,61.19,0,112.86,3.39
 84-94,0,1.05,0,3.79,0,51.66,0.56,0,2.3,0,9.69,48.54,0,188.63,0,0,0,0,0,0,0.67,56.83,69.01,0,136.07,0
 96-106,0,1.71,0,1.39,1.27,68.79,0,0,9.66,0,21.12,45.17,0,175.49,0,1.99,0,0,2.9,0.88,0,82.71,96.65,0,153.59,0
108-118,0,1.18,0,4.01,1.37,51.04,0,1.59,18.14,0.43,11.56,44.01,0,292.25,0,0,0,0,2.21,0,0,27.69,121.99,0,114.84,0
120,0,3.01,0,0,0,118.64,4.55,0,28.87,6.31,12.58,61.3,0,685.18,0,0,0,0,31.24,0,0,43.44,82.68,2.64,151.9,3.58
