stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,46.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.71,57.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,13.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.68,0,0,0,10.99,0,0,0,0,4.37,0,0,0,0,0,0,0,0
 14-21,0,0,10.2,2.48,4.4,0,0,0,0,0,28.97,0,0,1.24,0,0,0,0,8.31,0,3.38,46.14,44.48,51.11,45.11,59.29,0,3.03,0.9,2.09,296.13,1.62,0,100.75,0,0,1.06,0,0
 24-34,0,0,7.73,0,3.68,1.41,2.61,0,0,0,99.78,0,0,0,0,3.41,1.71,1.19,1.63,0,3.48,116.16,0.75,600.29,68.05,0,0,1.5,0,0,555.75,0,1.37,167.88,0,0,4.56,0,0
 36-46,0,0,1.35,0,4.96,0,29.74,0,0,0,29.48,0.61,0,0,0,0.77,0,0,0,0,0,56.25,0,478.06,42.16,0,0,7.31,2.5,0,351.27,0,0,109.02,0,0,0,0,0
 48-58,0,0,0.87,0,14.67,0,241.32,0,0,0,43.83,0.56,0,0,0,13.41,0,0,3.27,0,1.59,128.8,0,445.16,51.69,0,0,3.56,0,0,192.5,0,0,117.8,0,0,0,0,0
 60-70,0,0,24.6,0,22.17,0,311.87,0,0.63,1.69,75.41,0.6,0,0,0,23.78,0,0,3.26,0,0,109.14,0,392.26,83.28,0,0,0,0,0,196.08,0,0,82.32,5.28,0,0,0.81,0
 72-82,0,0,81.37,0,7.14,0.57,149.28,0.95,1.14,0,60.94,14.62,0,0,0.78,65.99,3.3,0,27.45,0.56,0,90.29,0,528.5,111.39,0,0,0,0,0,52.18,0,0,53.14,25.03,1.08,1.31,5.6,9.66
 84-94,0,0,104.09,13.73,19.66,4.21,124.56,0,0.83,1.18,27.17,28.55,0,0,0.67,56.37,0,0,20.49,1.47,0,43.75,0,525.18,95.03,0,0,8.63,0,0,137.67,0,0,39.01,25.28,0,0,0,0
 96-106,0,0,46.84,48.52,9.42,9.98,113.87,0,2.05,0,40.11,31.37,2.53,0.96,0,134.05,5.9,0,17.89,0.65,1.62,66.91,0,893.45,155.55,0,1.82,7.05,0,0,84.85,0,0,65.6,15.24,0,7.7,0,3.22
108-118,0,0,49,25.67,9.2,2.06,49.26,0,1.34,0,34.43,16.35,0,0,0,65.46,5.52,0,21.06,0,0,88.03,1,619.2,93.39,0,0,0,0,0,86.81,0,0,40.14,13.21,3.86,2.93,0.91,0
120,0,0,50.75,22.21,17.65,0,27.25,0,0,0,24.92,19.23,1.18,7.1,0,76.66,6.32,0,39.97,1.65,0,94.9,0,574.39,86.04,0,0,0,1.53,0,197.52,0,0,13.9,6.75,9.1,0,0,0
