stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,48.43,1387.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0
  5-6,9.48,215.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.93,0,0,0,10.87,0,0,5.5,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,19.33,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.06,0.8,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78,41.21,288.94,0,4.5,0.82,0,3.31,0,1.28,0,1.62,243.91,7.35,0,0,0
 24-34,0,0,0,0.63,0,0,5.39,2.44,0,0,0,0,0,0,0,0,0,2.09,6.68,0,1.56,0.91,0,27.77,60.41,7.29,4.42,19.83,0,0,1.44,0,0,3.3,0,86.51,5.19,0,0,0
 36-46,0,0,0,0,0,0,2.66,13.88,0,0,5.89,0,0,0,0,0,0,0,0,2.21,2.87,0,0,16.91,39.21,7.33,0,4.66,0,0,0,0,0,0,0,0,2.93,0,3.72,0
 48-58,0,0,0,0,0.67,0,3.99,15.74,0.5,1.96,5.3,0,0,0.4,0,0.38,0,6.92,0,0,6.14,0,0,0.4,29.38,11.84,0,10.3,0,0,0,0,0,0,3.21,0,8.68,0,0,3.66
 60-70,0,0,0,0.9,0,0,16.99,1.77,0.65,0,24.07,0.86,0,0,0.78,0,0.67,7.59,0,0,24.32,0,12.22,2.93,66.15,11.43,0,32.59,0,0,0,0,0,0,3.62,0,2.34,1.27,0,3.92
 72-82,0,0,0,0.54,0,0,49.85,4.56,0,0,116.94,9.47,0,0,1.87,0,0,33.89,0,0,115.79,0,0,0.77,75.05,0,0,72.84,0,1.67,0,0,0,0,1.81,0,0,0,5.44,0
 84-94,0,0,0,1.48,0,0,32.87,3.65,0,0,102.4,1.4,0,0,0,0,0.79,23.15,0,0,96.44,0,0,3.07,19.3,0.76,0,90.13,0,0,0,0,0,0.93,0,0,1.73,1.15,0.86,0
 96-106,0,0,0,3.33,0,0,39.8,7.77,0,0,201.03,0,0,0,8.33,0,1.03,58.41,0,0,70.61,0,1.85,4.09,61.03,0,0,141.75,0,0,4,0,0,0.58,5.77,0,0,8.35,4.55,0
108-118,0,0,0.74,5.45,1.38,1.12,35.04,4.99,2.29,0.7,165.23,6,0,0,9.62,0.49,0.86,47.45,2.35,0,75.75,0,0,2.49,75.68,1.97,0,113.14,0,1.96,0.59,0,0,0,0.44,0,0,0,1.85,0
120,1.12,0,0,5.06,0,0,64.8,47.59,0,0,163.37,3.34,0,0,27.99,0,0,49.12,0,0,116.4,0,0,2.93,103.52,3.83,0,146.93,0,11,0,0,0,2.81,0,0,0,0,3.24,0
