stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,63.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.23,0,0,0,0,0,0,0,0,0,0
  5-6,20.44,100.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.62,12.48,0,0,21.51,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,13.33,0,0,0,0,0,0,1.91,0,0,0,0,0,0,1.01,0,0,34,15.44,0,0,8.91,0,0,4.85,0,21.53,0,18.09,18.48,0,0,0,0,0
 24-34,0,0,0.75,0,66.95,0.67,0,2.22,0,2.02,0.78,8.51,0,0,0,0,0.66,0,134.54,0,0,168.41,49.64,0,0,2.65,0,0,3.59,0,13.24,0,2.8,22.82,0,0,0.61,0,0
 36-46,0,0,0,0.84,114.03,0,0,5.54,0,19.4,3.34,2.83,0,3.12,0,3.82,0,0,331.33,0.65,1.54,83.78,35.13,0,7.62,0,0,2.85,1.32,0.81,5.94,0,0,15.2,0,0,0.91,0,0
 48-58,0,0,0,0,133.23,0.45,0,12.69,0,39.52,1.94,6.99,0,3.27,0,0,0,0.48,290.6,0,0.83,61.24,49.57,0,0.95,5.88,0,0.4,12.92,0,1.24,1.61,0,22.11,0,0,0,0,0.99
 60-70,0,0,0,0,124.93,3.66,0,7.72,0,42.85,8.28,12.01,0,0,0,0.6,0,0.81,475.64,3.83,2.54,63.02,57.2,3.13,0,2.37,0,0,37.87,0,2.42,0,0,3.73,0,0,0,0,0
 72-82,0,0,0,0,119.05,0.52,0,43.64,0,42.83,15.18,17.66,0.53,0,0,0,0,0,751.34,2.92,8.82,72.36,90.55,0,0.55,24.16,0,0,57.57,0,0,0,0,5.02,1.36,1.7,0,1.28,0
 84-94,0,0,0,0,253.17,0,0,42.69,8.84,85.19,3.42,8.69,0.58,0,0,2.6,0,1.81,511.74,2.43,4.88,41.91,27.68,0,2.61,24.46,0,0,203.55,0,0,0,0,8.03,0.81,3.77,0,0.91,0
 96-106,0,0,0,0,259.62,7.3,1.47,51.89,1.29,74.5,19.15,10.17,0,2.68,0.72,1.62,0,0,559.05,2.41,3.27,53.19,68.82,1.17,4.09,26.31,0,0,91.66,0,0,0,0,0.83,0,6.1,0,1.29,0
108-118,0,0,0.85,0,356.05,0,0,53.27,0,101.19,11.61,8.13,0,6.65,0,0.96,0,0,690.94,2.64,3.34,46.81,80.16,0,2.81,10.06,0,0,116.49,0,0,0,0,0,1.01,2.79,0,0,0
120,0,0,0,0,199.43,0,0,28.23,1.61,83.19,10.35,13.05,0,7.97,0,2.06,0,0,566.68,1.31,0,36.46,157.06,0,4.56,23.29,0,0,51.14,0,2.43,0,0,0,0,0,1.48,0,0
