stage,endocrine.pancreas,epidermis,eye,fast.muscle,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.67,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0.93,0,1.78,0,0,0,2.5,0,1.25,5.76,0,0,0.83,6.61,2.02,10.74,0,0,0
 24-34,0.66,0,1.28,0,8.84,0,0.6,0,0,0,0,0,0,18.08,0,0,0,0,0,7.88,6.04,0,0
 36-46,0.73,0,3.74,4.17,5.55,0,1.05,0,0,0,0,0,3.54,36.98,3.59,0,0,0,0,8.77,0,0,0
 48-58,0,0.37,4.54,0,5.03,0,0,0,0,0,0.95,0,0,47.5,0,0,0,0,0,4.9,0,0,0
 60-70,0.7,0,50.87,0,3.3,0.63,0,0,0,0,1.4,0,0,46.83,0,0,0,0,0,6.98,0,0,0
 72-82,0,0,52.92,0,3.84,0,0,0,0.57,0,1.61,0,0,67.83,0,0,0,0,0,1.29,0,0,0
 84-94,0,3.15,68.77,0.69,1.67,0,0.95,0,0,0,5.74,0,0,42.31,0,0,1.25,0.61,0,2.91,0,1.94,0
 96-106,2.17,0,91.64,0,9.72,0,0,0.74,0,1.3,0,1.25,0,41.72,0,0,0,0,0,1.64,0,0,1.22
108-118,0,2.83,79.41,0,5.23,0.62,0,0,0,7.57,0,0,0,81.59,0,0,2.31,0,0,6.12,0,0,0
120,0,0,31.5,0,4.42,0,0,0,0,0,0,0,0,109.92,0,0,0,0,0,2.14,0,0,0
