stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,90.17,454.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.11,0,0,0,0,0,0,0,0,0,0
  5-6,31.21,793.1,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.05,0,0,0,19.1,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,83.35,0,132.79,0,0,169.5,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,1119.45,92.82,0,0,289.81,0,0,0,0,13.28,0,0,0,0,0,0,0
 10-12,4.89,14.65,0,200.68,0,56.47,124.98,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,1610.05,44.19,0,0,204.7,0,3.07,0,0,92.65,0,5.32,0,0,0,0,0
 14-21,0,0,0,9.41,40.79,108.79,22.8,0,0,0,18.49,7.62,0,1.77,0,0,0,0,0,0,34.89,0,0,7.55,517.53,5.22,14.09,22.11,2.13,0,0,1.58,1.07,5.35,6.88,189.22,0,0,2.54,0,0
 24-34,0,0,0.75,0,3.74,21.56,89.14,0,0,0,17.78,1.41,0,16.58,0,0.59,0,0,0.65,1.29,37.48,1.24,0,9.6,1829.69,0,33.9,26.5,0,0,1.94,1.06,0,5.13,0,383.32,0,0,33.91,0,3.2
 36-46,0,0,0,0,3.5,11.57,581.24,1.6,0,1.08,77.31,0,0,7.26,0,0,0,0.57,0,0,56.33,0,0.85,7.91,3605.45,0.55,51.93,8.01,0,0,9.41,0.74,0,2.95,0,597.79,0,0.62,7.59,0,3.6
 48-58,0,0,0,0,21.12,70.1,1541.57,0,6.21,7.2,197.18,0.58,0,13.31,0,0,0,2.37,6.39,7.88,81.67,1.5,8.84,9.26,4451.58,1.06,33.96,6.96,0,0.45,1.48,0,0,0,0,695.59,0,1.89,17.55,0,8.22
 60-70,5.05,0,6.75,0,16.09,115.15,3434.48,0,1.4,10.78,203.72,0,2,17.32,0.65,7,8.99,0,0,2.79,103.32,0,9.31,16.7,4536.52,0,38.87,13.95,0,0,1.46,0,0,4.18,0,493.2,0,0.71,10.46,2.04,29.9
 72-82,0,0,4.42,0,19.47,834.5,2207.69,2.18,0,10.81,218.64,3.97,0,16.66,2.26,0.66,0,0,0,7.54,135.52,1.97,5.24,7.08,3403.27,1.26,51.46,11.2,0,5.48,7.32,0,0,0,0,219.87,2.31,4.11,12.42,1.15,6.88
 84-94,0,0,1.15,0,21.66,615.37,1325.71,0.67,0,1.6,170.84,9.79,0,5,0.71,0,1.25,1.37,4.71,0,105.37,0,9.33,12.07,1940.89,1.16,16.31,15.86,0,1.75,4.4,0,0,0.82,0,110.58,0.85,4.7,13.91,3.65,9.28
 96-106,0,0,5.79,0,17.79,1145.94,921.25,0,2.16,4.75,140.55,5.27,0,9.42,2.44,0.92,11.64,0.62,5.82,0,66.55,2.99,1.09,5.9,1690.9,0,27.09,7.72,0,5.22,1.9,0,0,1.17,0,59.41,0,0.93,13.99,0,0
108-118,0,0,1.33,0,9.53,380.87,774.14,0,0.7,1.83,148.96,0,0,2.83,0,0,0,0,3.47,0,67.36,5.97,9.39,0.75,2151.95,1.27,29.55,6.99,0,2.48,2.62,0,0,0,0,29.88,4.64,2.38,9.63,3.4,1.55
120,0,0,0,0,25.93,424.62,888.25,0,0,18.26,307.87,5.56,0,24.61,0,3.6,0,0,5.1,0,126.99,0,17.36,4.64,4030.94,2.28,64.72,21.13,0,0,3.23,0,0,0,0,44.83,0,0,11.55,0,0
