stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,72.98,2004.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746.6,0,0,0,0,0,0,0,0,0,0
  5-6,178.54,2071.25,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,53.69,6.07,0,0,43.82,0,1002.97,0,0,0,0,0,0,0,0,0,0
  7-9,48.43,9.64,0,24.23,0,0,105.03,0,0,0,0,0,30.88,0,0,0,0,0,0,0,0,0,0,0,967.7,60.21,0,0,235.99,0,129.18,7.7,0,0,0,0,0,0,0,0,0
 10-12,0,10.03,0,23.43,0,0,52.02,0,0,0,0,0,24.46,0,0,0,0,0,0,0,0,0,0,0,672.48,29.48,0,0,151.9,0,16.41,0,0,14.3,7.48,0,0,0,0,0,0
 14-21,0,0,0,0,6.89,0.9,0,0,0,0,0,0,0,0.85,0,6.67,0,0,0,0,0,0,0,0.95,11.07,4.16,0,0,0,0,18.38,0,0.96,0,0.81,8.5,0,0,0,0,0
 24-34,0,0,0,0,0.6,0,3.02,0,0,0,3.02,0,0,1.85,0,2.6,0,0,0,0,3.9,0,0,1.37,67.48,0,0,0,0,0,27.56,0,0,0.85,0,13.38,0,0,7.57,0,0
 36-46,0,0,1.35,0,1.58,0,15.93,3.91,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,3.45,84.69,1.29,0,0.84,0,0,21.27,0,0,0,0,17.55,0,0,2.76,0,0
 48-58,0,0,0.54,0,1.54,0,4.28,1.15,0.97,0.5,8.84,0,0,1.19,2.55,0,0,0,0,0,14.79,0,0,1.48,87.18,0.58,0,0,0,0,10.12,0,0,0,0,14.72,0,0,4.3,0,5.79
 60-70,0,0,0,0,3.56,0,17.28,0.61,0.59,0.85,4.9,0,0,0,1.9,0,0,0,0,6.76,7.79,0,1.04,0,82.68,0,0,0.65,0,0,9.45,0,0,0,0,13.92,0,0,4.58,0,0
 72-82,0,0,0,0,4.34,0,24.96,2.65,0,1.32,7.28,0.97,0,0.81,2.24,0,0.79,0,0,0.49,19.17,2.46,2.07,1.12,111.56,0,0,0.61,0,1.61,20.52,0,0,0,0,14.33,0,0,7.02,0,0
 84-94,0,0,1.15,0,7.72,0,20.45,0,0,0.59,1.06,4.23,0,0,0,1.18,5.76,0,0,0,11.87,0,0,0.71,67.56,0,0,2.12,0,0,60.42,0,0,0,0,4.09,0,0,0,0,0
 96-106,0,0,0,0,3.97,3.43,20.7,0,0,0,1.44,0,0,0,10.1,0.63,0,0,0,0,11.74,0,0,0,55.25,0,1.23,0,0,0,40.86,0,0,0,0,0,0.72,1.58,7.94,0.76,0.8
108-118,0,0,0,0,9.53,0,16.55,0,3.51,1.28,6.15,7.78,0,0,0.67,4.05,5.04,1.39,1.41,0,3.48,1.27,0,0.44,47.15,0.69,0,0,0,0,26.3,0,0,0.72,0,1.72,0,0,0,0,0
120,0,0,0,0,5.72,0,1.53,0,1.09,0,33.47,2.91,0,0,11.04,2.21,0,0,0,0,3.7,0,0,0,64.12,0,0,0,0,0,10.24,0,0,0,0,31.52,0,0,0,0,0
