stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.9,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,68.26,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.73,0,0,3.01,0,0,12.82,4.95,0,0,0,0,0,0,0,0
 14-21,0,1.69,0,0,13.67,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,14.55,0,0,0,0,0,0,0,2.85,3.11,0.95,0,0,0,0,0
 24-34,0,2.98,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,1.25,0,0,2.14,3.96,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,12.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.23,0,0,0,0,0,5.33,0,0,0,0,0,14.58,0,0,0.45,0.75,0,8.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0.89,0,0,0.62,0,0,0,0,0,0,0,1.87,0,0,0,0,0,61.01,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,1.7,0.76,0,0,0,0
 72-82,0,2.62,0,1.69,0,0,14.93,0,0,0.89,2.24,3.78,0.59,0,0,0,0,0,361.03,0,3.73,0,0,0.54,46.03,0,0,0,0.84,0.96,0,0,0,0,6.09,0,0,0,0,2.09
 84-94,0,7.23,0,10.36,0,0,9.73,0,1.13,1.18,6.81,10.18,0,0,4.93,0,0.68,0,1224.62,0,3.59,0,0,0.61,55.82,0,0,0,0,6.05,0,3.02,0,0,0,0,0,4.32,0,0
 96-106,0,10.98,0,6.15,41.16,5.88,49.54,1.64,0.84,9.21,7.11,16.67,0,2.51,2.84,0.86,1.03,0,2023.36,0,18.63,3.75,1.76,1.02,253.19,0,1.44,0,0,10.99,0,3.65,0,0,9.23,0,1.88,4.04,0,0
108-118,0,14,0,2.3,2.83,8.72,91.14,0,2.54,4.38,10.72,9.47,0,0.69,2.26,0,0,1.96,3363.75,2.88,31.63,0,0,0.48,225.77,0,0.54,0,0,6.97,0,6.94,0.44,0,2.77,0,0,4.86,4.3,2.24
120,0,3.01,0,0,11.06,1.71,6.68,0,0,0,0,0,0,0,0,2.42,0,0,1283.86,0,32.72,13.61,0,0,97.79,0,0,0,0,1.07,0,1.97,1.21,0,0,0,3.8,0,18.94,0
