stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,15.7,1148.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7,0,0,0,0,0,0
  5-6,38.29,441.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.89,0,0,0,0,23.04,0,0,0,0,0,0
  7-9,15.37,0,0,12.44,0,0,0,0,0,0,0,0,0,0,0,0,86.3,0,0,9.12,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,91.63,0,0,12.56,0,4.33,0,0,0,0,0,0
 14-21,0,0,0,0,5.27,9.75,0,5.63,0,0,0,0,0,0.8,0,1.81,28.98,4.61,0,0,0,0,0.81,1.71,1.24,28.97,0,0
 24-34,0,0,0,0,0.64,23.96,0,15.68,0,0,0,0,0,8.38,0,1.16,91.34,5.71,3.11,0,0,0,0,3.32,0,45.89,0,0
 36-46,0,0,0,0,0,31.58,0,33.31,0,0,0,0,0,2.8,0,0,74.94,9.58,0,0,0,0,0,3.9,0,38.31,0,0
 48-58,0,0,0,0,0,56.57,0,27.83,0,0,0,0.4,0.43,1.05,0,0,47.98,7.59,0.86,0,0,0,0,1.24,0,41.06,0.89,0
 60-70,0,0,0,0,0.68,13.34,0,33.63,0,0,0,0,0,3.5,0,1.39,59.46,11.39,7.98,0,0,0,0,3.66,0,41.64,0,0
 72-82,0,0,0,0,0,25.81,0,65.25,0,0,0,2.02,0,2.47,0,0.56,23.54,9.28,3.44,0,0,0,0,0,0,18.97,0,0
 84-94,0,0,0,0,0,36.94,0,34.74,1.52,0.77,0,2.14,0,0,0,0,9.99,7.56,9.93,0,0,0,0,2.45,0,14.48,0,0
 96-106,0,0,0,0,0,11.51,5.35,33.65,0.67,2.07,0.72,3.34,0,6.49,1.16,0.83,20.75,37.35,8.65,0,1.94,0,0,0,0,13.51,0,0.91
108-118,0,0,0.52,0,6.44,10.73,0,47.61,0,0,0,3.49,0,3.94,0.46,1.89,33.94,16.98,7.05,0,0,0,0,0.93,0,6.78,0,0
120,0,0,0,0,0,6.1,0,63.51,0,0,0,3.22,0,3.48,0,0,63.71,35.48,5.36,0,0,0,0,4.05,0,8.82,0,3.52
