stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.56,49.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0
  5-6,15,56.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.39,0,11.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.37,0,0,0,8.07,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.53,0,0,0,14.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.09,11.52,0,0,28.97,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.22,18.3,0.94,0,6.33,0,0,0,1.18,0,0,0,4.07,0,0,0,0,10.18,0,0,3.11,41.6,0,19.48,0,3.56,0,0,21.32,2.26,1.46,9.22,20.29,0,0,2.01,0,0
 24-34,0,0,0,0,1.93,0,0,5.79,0,0,0,0,0,0,0,31.84,0,0,0,0,4.63,2.09,0,1.01,50.42,0,14.04,0,0,0,0,0,0.66,0,0,15.45,0,0,0.83,0,0
 36-46,0,0,0,0,1.05,0.67,0,40.03,0,0,0,1.82,0,0,0,15.17,0,0,13.72,0,0,0.58,0,0.59,86.53,0,0.73,0,0,0.88,0,0,0.63,0,0,29.62,0,0,6.8,0,0
 48-58,0,0,0,0,2.19,0,0,203.4,0,0,0.42,1.48,0,0,0,4.27,0,1.04,5.09,0,4.38,1.56,0,0.49,140.83,0,0,0,0,0,0,0,0,0,0,38.98,0,0,0,0,5.04
 60-70,0,0,0,0,4.1,0,0,1177.32,0,0,0,4.24,0,0,0,10.62,0,0,1.33,0,14.95,0,0,0,272.48,0,1.82,1.49,0,1.01,0.64,0,1.88,0,0,89.99,0,0,8.75,0,0
 72-82,0,0,0,0,15.95,6.83,0,2240.28,1.1,0,0,29.59,2.75,0,0,12.57,0,0,83.95,2.32,17.31,0,0.91,0,698.14,1.67,1.81,1.91,0,0.57,0,0,0.53,0,0,131.91,0,0,4.9,0,0
 84-94,0,0,0,0,8.06,1.58,0,2850.17,0,0,0,18.95,0.96,1.31,0,25.56,3.25,0,110.75,0,14.87,0,0.94,0.95,638.7,1.93,0.69,0,0,14.31,0,0,0.67,0,0,62.93,0,2.64,2.52,0,0
 96-106,0,0,0.74,0,10.59,7.89,0,2303.75,0.73,0,0,33.47,1.91,0,4.41,46.33,0.66,2.08,822.98,0,47.68,3,0.67,1.21,740.14,2.88,3.05,0.59,0,9.58,0,0,1.6,0,0,44.85,7.6,0,5.9,0,0
108-118,0,0,0.57,0,8.94,6.62,4.57,1985.4,0,2.64,0,31.82,0.6,0,0,44.96,0,3.39,1309.44,3.61,24.51,0.51,0,1.41,935.11,0.85,4.57,2.34,0,8.07,0,0,1.79,0,0,75.69,2.85,0.41,1.34,1.02,6.52
120,0,0,0,0,11.14,1.62,0,1484.12,19.31,8.52,0,38.13,1.2,0,0,21.77,0,9.45,779.28,0,22.16,2.91,0,2.53,954.35,4.65,4.36,0,0,3.23,0,0,0,0,0,68.56,1.99,0,0,3.69,2.34
