stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.19,141.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.01,654.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47,0,0,0,0,0,12.76,0,0,0,0,0,0,0,0,0
  7-9,0,6.22,9.16,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0,230.91,26.74,0,0,102.85,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.28,3.47,0,0,0,6.77,0,0,0,0,0,0,0,0,0,0,0,139.56,11.61,0,0,40.39,0,0,0,24.4,0,0,0,0,0,0,0
 14-21,0,0,0,3.95,2.11,0,0,0,0,0,2.29,1.45,0,2.13,0.92,0,2.33,0.87,29.42,0,0,1.65,0,0,0,4.36,0,1.44,1.86,15.74,0,0,0,0
 24-34,0,0,0,0.67,0,0,3.52,0,0,0,0,0,0,0,0,0,7.81,0.89,29.64,0,1.74,0,0,0,0.62,0,0,0,0,9.61,0,3.15,0,0
 36-46,0,0,0,0.58,0,0,7.1,0,0,1.65,0,0,0,0,0,0,3.15,0,21.32,0,0,0,0,0,1.09,0,0,0,0,2.9,0,0.71,0,0
 48-58,0,0,0,0,0,0,3.39,0,0,3.53,0,0,0,0,0,0,5.02,1.64,12.22,0,0,0,0,0.61,0,0,0,0,0,2.04,0,0,0,1.32
 60-70,0,0,0,0,0,0,5.42,4.75,0,1.78,0,0.78,0.78,0,0,0,3.66,0.97,7.19,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0
 72-82,0,0,0,0,0,0,1.43,0,0,1.32,0,0,0,0,0,0,4.03,0,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0
 84-94,0,0,0,0,0,0,3.65,0,0,0.89,0,0,0,0,0,0,0,0.57,8.57,0,0,0,0,0,2.69,0,0,0,0,1.47,0,0,0,0
 96-106,0,0,0,2.88,0,0,0,0,0.79,2.79,0,0,0.56,0.62,0,0,5.38,0,7.37,0,0,1.19,0,0,1.71,0,0,0,0,2.38,0.71,1.16,1.85,0
108-118,0,0,0,2.21,0,0.64,9.45,0,0,4.22,0,0,0.63,0,0,0.77,3.74,2.85,10.31,0,0.57,0,0,0,0.95,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0,0,33.87,0,0,0,0,0,1.97,0,0,0,0,14.04,0,0,0,0
