stage,axial,blastomeres,endoderm,eye,glial,hatching.gland,immune,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,0,23.72,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.04,69.69,0,0,0,0,0,0,0,0,0,7.22,0,0,0
  7-9,3.43,0,8.92,0,0,7.6,0,0,53.81,8.89,3.73,0,0,0,0
 10-12,0,0,9.34,0,0,0,0,0,17.81,3.36,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.98,2.75,0,0,0,0.87,2.25,0
 24-34,0,0,0,0,0,0,0,0.76,15.15,0,0,0,0,2.18,0
 36-46,0,0,0,0,0,0,0,0,28.03,0,0,0,0,3.64,0
 48-58,0,0,0,4.65,5.08,0,0,0,26.63,0,0,0,0,0.99,0.71
 60-70,0,0,0,0,7.9,0,0,0.72,23.28,0,0,0,0,3.2,0
 72-82,0,0,0,9.09,8.75,0,0,0,5.22,0,0,0,0,13.91,0
 84-94,0,0,0,2.36,3.41,0,0,0,1.96,0,0,0,0,0,0
 96-106,0,0,0,4.78,1.02,0,0.95,0,1.5,0,0,0,0,0,0
108-118,0,0,0,0,2.48,0,0,2.43,0,0,0,0,0,0,0
120,0,0,0,0,35.91,0,16.05,0,18.64,0,0,0,0,0,0
