stage,epidermis,eye,glial,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,9.97,0,0,0,0,0
 24-34,0.65,0,0,0,0.64,0,18.56,0,0,4.14,0,0,0
 36-46,0,1.03,0,0,0,0,33.96,0,0,10.56,0,0,0
 48-58,0,9.84,1.36,0,1.27,0,43.75,0,0,4.92,0,0,0
 60-70,0,12.12,0,0,0.58,0,65.26,0,0,2.3,0,0,0
 72-82,0,53.77,0,0,0.71,0,60.18,0,0,3.64,0,0,0
 84-94,0,37.39,0.98,0.83,0,0,32.95,0,0,1.89,0,0,1.16
 96-106,0,29.13,0,0,0,0.96,35.25,0,0,0,0,1.15,0
108-118,0,34.28,0,0,1.05,0,37.06,0,1.8,0,0,0,0
120,0,36.88,7.59,0,0,0,94.95,0,0,0,2.55,0,0
