stage,blastomeres,endoderm,eye,mesenchyme,neural,somites
  5-6,14.09,0,0,0,8.42,0
  7-9,0,0,6.22,0,6.2,0
 10-12,0,4.54,0,0,4.85,4.75
 24-34,0,0,0,0,8.72,0
 72-82,0,0,0,0.82,1.66,0
108-118,0,0,0,0,1.14,0
