stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,xanthophores
  3-4,0,22.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,30.71,0,0,0,0,4.8,0,0,0,0
 14-21,0,0,0,0.89,0,0.98,0,42.48,0,0,0,0.92,0,32.8,0,3.85,0,0,0,1.68,52.03,89.1,0
 24-34,0,0,0,0.82,0,1.75,0,40.38,0,0.68,0,1.78,2.51,18.28,13.15,1.88,0,0,0,0,23.63,63.53,0
 36-46,0,0,0,0,0,0,0,38.9,0,0,0,2.32,3.24,38.51,8.84,2.33,0,5.71,0,0,13.51,50.16,0
 48-58,0,0,0,0,0,4.04,0,52.92,0,0.72,5.79,3.82,0.91,19.65,7.35,0.8,0,0,0,0,6.1,55.51,8.06
 60-70,0,0,0,0,0,2.36,0,49.7,0,3.15,0,4.22,1.08,14.56,12.28,8.26,0,0,0,0,1.15,24.78,0
 72-82,0,0,0,0,0,3.53,0.49,67.11,0,3.57,0,3.2,0,13.13,15.71,9.14,0,2.04,0,0,2.29,19.03,0
 84-94,0,0,1.01,0,0,6.09,0.89,52.87,0,2.28,0,1.78,2.18,6.83,17.05,7.78,0,0.56,1.4,0,3.78,23.92,0
 96-106,0,0,0,0,0,4.48,0,48.5,0,11.2,0,2.63,0.62,6.42,12.6,6.53,0,0,0,0,2.58,8.13,0
108-118,0,0,0,1.41,1.23,8.67,0,38.56,0.75,5.93,0,4.29,0.42,11.73,10.75,20.97,0,0,0,0,3.7,11.33,0
120,0,0,0,0,0,9.84,0,51.65,0,7.55,0,0,1.51,30.96,10.68,4.78,0,0,0,0,5.92,7.32,0
