stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,neural,olfactory,otic,spinal.cord
 24-34,0,0,0,0,0.93,0,17.03,0,0,12.16
 36-46,0,0,5.78,0,0.8,0,87.18,1.8,0,9.18
 48-58,0,0,10.71,0.43,4.7,0,136.01,0,0,19.44
 60-70,0.92,0,40.14,0,0,1.55,115.5,0,9.91,23.66
 72-82,0,11.02,43.17,0,0.92,0.82,148.03,2.93,0.61,7.85
 84-94,0,0,27.6,0.89,1.37,0,75.54,0,0,0.98
 96-106,0,0,13.34,0,2.14,0,60.2,0,0,3.91
108-118,0,0,24.77,0,0,0,71.55,0,0,2.82
120,0,0,43.28,0,5.29,9.64,132.69,0,4.59,0
