stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.32,0,0,4.3,0,0,0,3.77,0,0,70.87,0,13.34,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,67.4,0,23.19,12.01,0,0,0,0
 14-21,0,0,0.86,0,0.87,0,1.23,0,0,1.04,1.85,24.14,0.81,0,0,6.03,3.15,3.87,0
 24-34,0,0.68,3.52,0,3.69,0,0,1.6,0,4.87,0.67,29.47,0,0,0,0,0,5.24,0.95
 36-46,0,0,0,0,0.64,0.62,0,0,0,2.42,0.64,9.38,0,0,0,0,0,3.57,0
 48-58,0,0,0.41,0,3.48,0,3,1.77,0,4.91,1.11,16.98,0,0,0,0,0,0.43,0
 60-70,0,0,0,0,0.61,0,2.66,0,0,2.56,0,7.37,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.2,0.8,0,0,0,1.35,0,1.03,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.21,0,0,0,0,0,1.25,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
120,0,0,0,1.73,0,0,0,0,0,2.38,0,3.08,0,0,0,0,0,0,0
