stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,mesenchyme,mucous,neural,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0,0,0,0
  5-6,54.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,3.27,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,3.51,1.88,0.93,0,1.17,1.23,0,0,0
 24-34,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,2.48,1.86,0,0,0,2.25,0,0,0
 36-46,0,0,0,1.54,0,0.58,0,0,0,0,0,0,0,0,0.98,0.57,0,0,0,2.51,0,1.03,0
 48-58,0,0,0,3.46,1.34,0.39,0,0.39,0,0,0,0,0.5,0,0.74,0.71,0,0,0,0.52,0,0,0
 60-70,0,0,0,2.27,0,1.83,0,0,1.27,0,0,0,0,1.09,9.46,4.6,0,0,0,0,0,0.87,0
 72-82,0,0.69,0,1.44,0,0,0,0,0.51,0,0,5.18,3.79,0,9.11,3.3,0,0,0,0,0,0,1.07
 84-94,0,0,1.78,4.11,0,0,0,0,3.94,0,0.65,1.73,0,0,0,1.62,0,0,0,0,0,0,0
 96-106,0,0,0.57,1.85,0,1.1,0,0,1.42,0,0,0.67,0,0.77,2.81,4.07,0,0,0,0,0,0,0
108-118,0,1.15,0.85,0,0,0,1.23,0,2.97,0,0,1.94,1.8,0,4.9,2.28,0,0.72,0,0,0.54,0.55,0
120,0,0,0,2.19,0,0,0,0,1.17,0,0,1.05,0,0,0,10.65,0,0,0,0,0,0,0
