stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.86,0,0,311.98,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,1194.44,7.28,0,0,0,0.88,0,0.92,23.47,0,0,0,0
 24-34,0,1.48,0,0,2424,0,0,0,2.11,0,1.04,0,5.2,2.15,0,4.38,0,8.17,0,3.05,267.22,0,1.76,0.79,1.73,0.6,0.91,0,62.5,0,0,1.77,0
 36-46,0,0,0,0,2237.68,0,0,0,0,0,0,1.51,0,8.93,0,0,0,10.04,0,1.43,106.62,0,0,6.48,0,0,0,0,13.35,0,0,4.71,0
 48-58,0,1.05,0,0,1125.01,0,0,7.22,0.66,0,0,0,0,1.01,0,0,1.87,3.85,1.36,1.51,49.14,0,0,0,0.38,0,0,0,9.47,0,0,0,0
 60-70,0,2.41,0,0,789.34,0,0,0,0,0,0,0,0,0.58,0,0,0,2.22,0,0,51.77,0,0,0,3.97,0,0,0,2.64,0,0,2.21,20.5
 72-82,0,0,4.71,0,585.37,0,0,0,6.48,0,0,0,0,0,0,0,0,1.24,7.47,0,67.75,0,0,0,0,0,0,0,0,0.97,0,0,0
 84-94,0,0,0,0,674.14,0,0,0,3.1,0,0,0,0,0,0,0,0,0,1.32,0,25.4,0,0,0,2.05,0,0,0,5.28,0,0,0,0
 96-106,0,0,0,2.29,276.76,0,0.82,0,6.17,0,0,0,0,0.61,0.64,0,0,0,0,0,35.96,0,0.6,0,4.7,0,0,0,0,0,0,2.17,7.1
108-118,0,0.9,3.68,0,477,5.31,0,0,3.68,0.8,0,0,0,0,0,1.74,4.23,4.99,0,0,28.75,0,0,0,0,0,0,0,0,0,1.53,0,0
120,0,0,0,0,307.24,0,0,0,2.4,0,0,0,0,0,0,0,0,2.85,0,0,52.14,0,0,0,0,0,0,0,0,0,0,0,0
