stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,74.16,1964.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0
  5-6,48.68,901.52,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,58.04,0,0,0,8.05,51.85,0,0,0,0,0,0,0,0,0
  7-9,8.03,7.59,11.99,0,0,0,4.88,0,0,0,0,0,7.11,0,0,0,0,0,0,0,0,0,317.63,11.29,0,0,103.87,3.26,14.15,0,0,0,0,0,0,0,0
 10-12,0,0,15.24,0,0,0,14.68,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0,0,493.06,0,0,0,90.75,3.3,4.8,0,0,0,3.51,0,0,0,0
 14-21,0,0,0,32.16,4.32,0,1.14,0,0,0,3.58,1.11,0,0,0,0.98,0,0,5.69,0,0,1.81,107.88,2.99,1.09,0,2.11,5.95,0,15.86,0,1.99,29.83,0,0,0,0
 24-34,0,0,0,6.29,1.03,0,12.12,0,0,0.61,0.77,0,0,0,0,0,0,1.41,12.6,0,0,4,129.3,0,1.35,1.37,0,3.15,0,0,0.6,0.7,24.43,0,0,3.09,7.71
 36-46,0,0,0,2.17,0,0,35.7,0,0,0,2.16,0,0,0,2.58,0,0,0,12.55,0,1.66,4.33,73.63,0,0.63,1.82,0,0.58,0,0,0,0,21.21,0,0,1.07,1.43
 48-58,0,0,0,2.67,0,0,61.84,0,0.55,0,5.64,0,0,0.66,0,0,0.43,0,9.83,0.39,2.4,1.42,57.8,0,0,0,0,0.45,0,0,0,0,3.11,0,0,0.61,0
 60-70,0,0,0,11.78,0,0,28.98,0,0,0,1.93,1.72,0,0.66,0,0,0,1.32,15.58,0,0,6.83,11.07,0,0,0,0,11.6,0,0,3.75,0,6.88,0,0,0,0
 72-82,0,0,0,1.09,0,0,17.43,0,0,0,8.43,0,0.5,0,0.49,0,0,2.04,10.19,0,0,1.03,25.17,0,0,0.5,0,0,0,0,0,0,1.81,0,0,2.78,6.27
 84-94,0,0,0,9.35,0.83,0,28.26,0,0,0.61,6.32,1.29,0,0.8,0.87,0.89,0,1.67,13.15,0,4.04,4.07,17.37,0,0,0,0,6.64,0,0,0,0,2.94,1.17,0,1.32,0
 96-106,0,0,0,2.71,0,0,11.63,0.93,0,0,1.81,0.66,0,0.62,1.85,0.66,0,0,11.29,0,0.59,0.79,10.47,0,0,0,0,2.02,0,0,0,0,0,0,1.21,5.13,0.75
108-118,0,0,0,4.31,0,0.62,10.73,0,0,0,4.45,1.51,0,0,0.73,0,0,0,6.85,0,0,0.43,27.03,0,0.95,0.77,0,1.4,0,0,1.06,0,1.8,0,0,1.33,0
120,0,0,0,4.53,0,0,3.32,0,1.42,0,2.8,0,0,0,1.79,0,0,0,12.12,0,0,4.69,7.63,0,1.45,0,0,1.44,0,0,0,0,0,0,0,0,0
