stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.43,305.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.29,0,0,0,0,0,0,0,0,0
  5-6,6.84,770.38,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,99.82,14.56,0,7.11,7.49,0,0,0,0,0,0,0,0,0
  7-9,43.49,47.92,51.23,0,0,113.41,0,0,0,0,48.72,0,0,0,0,0,0,0,0,1037.81,40.07,0,398.88,0,0,0,0,0,0,0,0,0,0
 10-12,0,102.22,128.78,0,5.32,127.88,0,0,0,0,58.94,0,0,0,0,0,0,0,0,2289.84,73.65,0,919.16,0,0,114.42,0,0,7.02,0,0,0,0
 14-21,0,0,0,1.86,0,0,0,0,0,0,0,0,6.71,0,0,3.26,0,0,0.89,6.86,0,0,0,0,0.82,0,0,0,1.12,0,0,0,0
 24-34,0,0,0,1.52,0,2.29,0,0,0,0,0,0,0,0.68,0,0.71,0,0,3.73,31.82,0,0.67,0,1.82,0,0,0,2.5,2.69,0,0,0,3.82
 36-46,0,0,0,0.64,0,5.08,0,0,0,0,0,0,0,0,0,1.39,0,0,0,50.16,0.6,0,0,15.99,0,0,0,0,1.66,0,2.44,0,0
 48-58,0,0,0,0,0,13.42,0,1.57,2.53,0,0,0,0,0,0,1.98,0,0,0.48,38.46,0,0,0,0,0,0,0,0,11.38,0,0,0,0
 60-70,0,0,0,3.96,0,27.51,1.81,0,1.17,0,0,0,0,0,0,8.6,0,0,1.49,38.75,0,3,0,2.33,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,14.92,3.46,1.16,3.94,0,0,0,0,0,0,1.87,0.58,0,0,32.26,0,0,0,0.79,0,0,2.89,0,2.24,0,0.82,0,0
 84-94,0,0,0,0,0,13.37,1.69,0,0,1.44,0,0,0,0,0,11.1,0,0,0,24.11,0,0,0,3.05,0,0,0,0,1.77,0,0,1.16,0
 96-106,0,0,0,1.88,1.06,9.23,0,0,1.84,0,0,0,0,0,0,4.49,0,1.43,0,10.77,0,0,0,1.09,0,0,0,0,0,2.08,0,0,0
108-118,0,0,0,3.86,1.02,5.69,0,0,5.61,1.66,0,0,0,0,0.47,8.33,0,0,0,18.5,0,0,0,0.98,0,0,0,0,3.64,0,0,0,0
120,0,0,0,0,1.01,3.26,2.35,0,1.31,3.28,0,1.61,0,5.54,0,2.15,0,0,1.91,35.85,0,0,0,1.78,0,0,0,0,0,0,0,0,0
