stage,axial,blastomeres,endoderm,eye,glial,gut,hatching_gland,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,32.16,205.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.89,350.08,0,0,0,0,0,0,0,0,69.55,0,0,0,0,0,0
  7-9,8.79,5.67,7.32,3.47,0,0,8.95,0,0,0,113.2,0,42.16,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,108.57,0,5.45,0,0,16.42,0
 14-21,0,0,0,0,0,0.83,0,2.22,0,2.7,9.5,0,0.89,0,1.32,0,8.51
 24-34,0,0,0,0,0,0,0,2.99,0,1.55,15.67,0,0,0,0,0,6.18
 36-46,0,0,0,2.95,0,0,0,0,0,1.36,12.26,0,0,0,0,0,7.13
 48-58,0,0,0,3.46,1.47,0,0,1.82,0.41,1.06,6.76,0,0,0,0,0,3.37
 60-70,0,0,0,2.78,0,0,0,2.61,0,0,6.81,0,0,0,0,0,0
 72-82,0,0,0,0.67,0.78,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.85,0,0,1.14,0,0,1.46,0,0,0
 96-106,0,0,0,0,1.98,0,0,3.72,0,0,0,1.01,0,0,0,0,0
108-118,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0
