stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,1.11,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.69,19.34,0,0,0,3.27,0,0
 36-46,0,0,0,0,0,0,0,14.55,0,0,25.34,1.27,0,1.97,1.85,0,0
 48-58,0,0.44,1.96,0.39,10.16,0,0,0,0,0.37,61.63,0,0,5.69,2.51,0,0.47
 60-70,0,1.05,16.61,0,0,0,0,0,4.79,4.12,86.2,0,0,4.83,17.76,0,0
 72-82,1.39,1.27,16.21,0,0,0,0,0.52,2.96,4.09,51.74,0.74,1.34,5.7,12.02,0,0.76
 84-94,0,0.56,5.31,0,1.92,0,0,0,0,1.38,15.53,0,7.16,7.96,0,0,0
 96-106,0,1.29,11.85,0,0,1.61,0.87,0,0,0.6,16.37,4.05,0.59,10.65,3.71,0.66,0.87
108-118,0,0.81,10.3,0.5,1.43,0,0,0,0.47,0.87,26.6,0,0,13.05,0,1.89,0
120,11.35,0,0,0,0,0,0,0,0,17.92,23.2,0,0,5.21,0,5.48,0
