stage,exocrine.pancreas,eye,fast.muscle,glial,liver,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,presomitic.mesoderm,somites,spinal.cord
 14-21,0,0,0,0,0,0,0,0,3.15,0,0,0.84,0.8,0
 24-34,0,2.37,0,1.16,1.13,0,0,0,7.13,0,0,0,0,0.99
 36-46,0,0,0,0,0,0.95,0,0.79,14.64,1.6,0.59,0,0,0
 48-58,0,1.81,0.51,0,0,0,0,0,6.62,0,0,0,0,0
 60-70,0,1.13,0,3.9,0,0,4.68,0,0.75,0,0,0,0,0.77
 72-82,0,4.01,0,1.03,0,0,0,0,3.79,1.04,0,0,0,0
 84-94,0,0.63,0,0,0,2.52,0,0,0,0,0,0,0,2.86
 96-106,0,0,0,0,0,8.41,0,0,3.27,0,0,0,0,0
108-118,0.46,2.23,0,6.66,0,0,0,0,0.96,0,0,0,0,0
120,0,8.55,0,0,0,0,0,1.38,2.56,0,0,0,0,0
