stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,xanthophores
  3-4,0,74.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.7,24.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0,0,0,0,0
 14-21,0,0,0.89,3.5,0,0,0,0,0,0,3.47,0,14.09,1.44,0,1.06,3.2,1.27,4.24,0
 24-34,0,0,0,4.27,0,0,0,0,0,1.41,3.45,0.68,6.06,0,0,1.08,0,1.31,0.8,0.63
 36-46,0,0,0,0,0,0,0,0,0,0,2.38,0,1.58,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.42,0,0,0,0,0,0,2.83,0,0,0,0,0,0.77,0
 60-70,0,0,0,0.87,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.76,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.66,0,0,0,0,0.93,0.45,0,1.31,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0
