stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,52.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.87,0,21.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.18,9.04,0,0,0,0,0,3.79,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.41,0.86,8.72,0,0,1.12,0,0,0,0,0,0,0,0.82,0,0,0,4.2,0,0,3.59,32.82,0,1.19,2.11,0.83,0,6.49,0,0,11.28,0,0,0,0,0
 24-34,0,0,0,0,0,0,3.72,0,0.78,0,1.83,0,0,0,0.63,0,0,0,3.77,0,0,5.61,233.85,0,3.6,0,0,0,0,0,0.59,48.88,0,0,5.38,0,0
 36-46,0,0,0,2.09,0,0,15.43,0,0,0,11.16,0,0,0,0,0,0,0,15.35,0,0,0,636.68,0.66,1.48,0,0,0,10.19,0,0,107.81,0,0,0.68,0,0
 48-58,0,0,0,0.41,1.65,0,74.5,0,0,1.27,10.65,0,0,0,0,0,0.47,0,11.43,0,0,3.18,1406.15,0,1.81,7.1,0,0,1.99,0,0,210.29,0,0,0.41,0,0
 60-70,0,0,0,3.92,0.77,0,364.61,0,0,1.49,18.53,0,0,0,0,0,0,0,21.19,0,0,1.76,2832.03,1.45,2.11,4.18,0,0,1.13,0,0,364.84,0,0,0,0,0
 72-82,0,0,0,13.36,0.53,0,514.74,6.88,5.41,0,28.75,1.68,0,0,0,0.71,1.53,0,38.84,0,1.36,2.65,3266.38,0,4.26,0.62,0,1.77,13.07,0,0,286.48,2.62,0,5.85,0.81,12.14
 84-94,0,0,0,6.86,0.66,0,476.22,0,0.68,0,63.03,0,0,7.3,0,0,0,3.77,40.74,0,3.37,0,2385.92,0,5.02,2.6,0,0,0,0,0,206.62,0,2.16,2.27,5.09,0
 96-106,0,0,0,18.96,16.34,5.91,446.89,0,0.62,1.65,62.93,0,0,3.63,0,1.34,0,9.42,22.1,0,2.91,2.78,2449.41,0,8.18,0.73,0,3.23,7.35,0,0,120.37,0.66,0,9.78,0,0
108-118,0,0,0,30.52,1.14,0,552.43,0,3.5,1.91,52.87,0.42,3.23,0.5,0.89,1.01,0,0,28.85,0,0.46,14.18,2781.07,1.87,3.44,0,0,0,7.26,0,0,99.61,0,0,2.15,0,0
120,0,0,0,33.4,14.35,0,843.14,0,0,0,143.17,9.76,0,13.26,0,0,3.53,0,48.64,6.77,0,0,5250.71,0,42.96,14.73,0,17.39,4.12,0,0,171.67,0,0,0,0,0
