stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,iridophores,liver,melanocytes,mesenchyme,neural,notochord,olfactory,pericytes,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,5.78,0,2.02,0,3.63
 24-34,0.66,0,0,0,0,2.61,0,0,0,0,99.26,0,0.76,0,13.39
 36-46,0,0,8.25,0,0,1.31,0,0,0,2.34,233.61,0,0,0,48.12
 48-58,0,0,80.32,0,4.63,4.21,0,0,0.51,0.59,296,0,0,0,55.72
 60-70,0,0,148.84,0,0,1.03,0,0,0,0,218.29,0,0,0,33.08
 72-82,0,2.73,162.52,0,0.61,4.7,0,0,0,1.47,262.94,0,2.09,0.87,32.11
 84-94,0,0,84.81,0,2.61,2.01,0.55,0,0,2.69,159.76,0,0,0,11.76
 96-106,0,0,118.47,0.6,0,2.71,0,0,0,3.47,181.88,0,0,0,6.09
108-118,0,0,44.96,0,0,2.36,0,0,0,0.86,112.3,0,0,0,1.03
120,0,2.99,26.12,0,0,14.06,0,9.76,0,2.22,101.98,1.17,0,0,0
