stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,80.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.01,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.87,0,0,0,8.86,0,0,0,0,0,0,0,0
 14-21,0,0,3.46,0,0,0,0,0,56.62,0,0,0,0,0,0,0,0,0,0,12.85,2.54,4.72,1.54,0,0,29.28,0,0,200.96,0,0,0
 24-34,0,0,0,0,2.99,0,1.38,0,81.44,0,0,0,0,0,0,3.16,0,0,1.97,32.62,0.75,23.88,2.83,0,0,74.83,0,0.62,162.56,0,0,0
 36-46,0,0,1.45,0,1.56,0,8.76,0,81.2,0,0,0,0,0,0,5.9,0,0,3.62,63.39,0,35.48,0,0,0,32.83,0,0,145.61,0,0,0
 48-58,0,0,4.3,0,3.94,0.67,1.11,0,72.92,0,0,2.49,0.48,0,0,4.21,0,0,1.02,55.53,2.22,45.44,6.07,0,0,24.77,0,0,136.09,0,0,0.47
 60-70,0,0,0,0,5.4,0,0,0,87.54,0,0,1.8,2.12,0,0,6.17,1.53,0,0,8.46,0,39.24,4.42,0,0,21.64,0,0,95.07,0,0,0
 72-82,0,0,0.66,0,22.75,0,0,0.77,109.64,0,0,16.34,5.1,0,0,2,0,1.12,1.48,17.65,0,70.42,4.04,0,0,4.66,0,0,47.59,3.56,0,7.06
 84-94,0,1.89,0,1.36,15.63,0,0,0,80.43,0,0,10.5,6.7,0,0,19.15,0,0,0,10.15,0,78.68,10.81,0,0,25.05,0,0,54.62,0,0,0
 96-106,0,6.07,0.61,0,45.32,0,0,0,55.05,0,0.74,10.52,9.26,0,0.58,10.72,0,0,0,36.41,0,91.93,10.79,0,1.11,12.09,0.6,0,46.55,0,0,0
108-118,0,3.26,0,0,54.56,0,0,0,55.95,0,0,9.37,7.2,2.5,0,17.74,0,0,0,14.34,0,94.61,14.39,0,1.05,19.13,0,0,26.32,0,2.47,0
120,0,0,4.44,0,49.31,0,0,0,15.99,2.35,0,1.91,17.57,0,0,16.45,0,0,0,26.95,0,71.55,15.64,0,0,17.36,0,0,10.39,0,0,0
