stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,72.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,67.83,0,0,0,25.42,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.69,0,0,0,0,0,0,0,0,0,0,0,6.76,0,0,0,0,0,0,0,0,0,0,0,104.86,0,0,0,24.11,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,8.31,3.19,0,5.9,0,0,0,0,0,0,0,0,0.81,0,0,0,0,4.02,0,0,3.15,42.9,0,0.86,1.27,0,0,5.22,0,12.04,0,0,6.83,42.73,0,0,0,0,0
 24-34,0,0,1.84,4.9,0,0,10.43,0,0,0,2.11,0.67,0,1.18,0.6,7.57,0,0.86,0.74,0,22.97,0,0,13.59,290.39,1.85,1.03,0,0,0,20.07,0,0,0,0,2.86,79.09,0,0,10.48,0,0
 36-46,0,0,0,1.92,0,0,29.85,0,4.07,0.71,4.33,0,0,2.16,0.57,1.48,4.15,0,2.66,0,38.59,1.26,0.67,11.73,473.89,0.89,16.76,1.63,0,0,23.16,0.81,0,11.55,0,0,97.92,0,0,10.66,0,16.51
 48-58,0,0.54,0,8.42,0,0,73.19,0,10.75,1.55,10.25,0,1.47,1.36,0,1.39,0,0.87,0,2.75,38.47,0,0.5,9.9,570.31,0,5.01,4.12,0,0,34.43,0,0,0,0,0,150.16,0,0.91,8.69,0,2.73
 60-70,0,0.57,0,8.08,0,0,249.97,1.2,9.3,2.12,51.04,0,0,0.75,0,0.58,0,3.87,0,0,74.48,0,3.67,4.86,855.09,0,8.64,0.81,0,0,32.34,0,0,1.54,0,0,139.96,0,2.02,5.19,0.98,1.87
 72-82,0,0,0,20.19,35.36,0,358.35,0,2.49,2.88,81.82,2.75,0,1.79,0,2.34,2.56,2.27,0,0,110.65,7.31,3.03,6.17,1076.17,2.87,15.59,6.15,0,0,25.42,0,0,0,0,0,177.65,5.32,3.27,25.64,2.98,4.66
 84-94,0,2.9,0,31.28,28.74,0.59,264.67,2.54,15.51,3.6,79.84,2.26,2.54,4.09,6.43,6.17,1.03,4.27,0,2.16,125.95,1.28,2.84,15.7,623.03,1.78,14.59,1.72,0,0,70.87,0,0,0,0,0,128.94,3.76,4.94,15.97,0.78,19.82
 96-106,0,1.46,0,27.34,45.66,0.98,332.44,2.1,6.32,14.49,134.94,8.51,0,3.44,3.9,3.34,1.96,8.76,8.31,2.56,140.48,7.41,3.49,9.09,795.55,1.39,15.39,9.69,10.66,3.27,65.27,0,0,0.58,0,0,64.99,4.63,5.51,25.1,4.56,1.79
108-118,0,0,0.74,53.62,24.89,0,334.52,23.67,12.69,3.12,129.63,10.6,0,1.54,4.61,4.66,5.74,6.05,3.88,1.75,186.2,10.31,15.91,5.58,844.91,2.14,12.96,13.13,0,12.3,64.8,0,0,3.98,0.47,0,44.21,11.25,0,20.61,0.44,23.73
120,0,0,0,68.58,60.88,1.62,399.1,23.71,36.67,26.86,143.12,2.65,0,0,5.8,7.08,24.12,6.46,0,1.6,288.44,0,0,4.39,1372.9,9.4,9.04,16.79,0,28.54,77.94,0,0,1.02,1.64,0,74.66,1.37,7.56,92.1,14.78,0
