stage,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0,4.08,8.28,0,0,0,0
 10-12,3.95,0,4.95,0,0,0,4.29,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,3.78,0,0,0.9,0,0.85,0,0
 24-34,0,0,0,3.04,0,0,0,0,0,0,0,0,1.01,0,0,0,2.07,1.36,0,0,0,0,0,0
 36-46,0,0,0,4.8,0,0,0,0,0,0.86,0,0,0,0,0,0,1.52,0,0,0,0,1.29,0,0
 48-58,0,0,0,27.58,0,0,0,0,0,0,0,0.78,0,0,0,0,2.95,0,0,0,0,0,0,1.32
 60-70,0,0.71,0,78.27,0,0,0,0,0,0,0,0,0,1.01,9.41,0,9.82,1.43,0,0,0,0,0,0
 72-82,0,0,0,93.55,0,0,0,0,0,1.38,0,0,0,0,0,0,10.67,1.3,0,0,0,0.57,0,0
 84-94,0,0,0,83.57,0.73,0,0,0,0.94,6.26,0.74,0,0,0,0.58,0,1.98,0,0,0,0,0,0,0
 96-106,0,0,0,74.84,0,0.62,0,1.07,0,0.63,0,0,0,0,0,0,0.61,0,0,0,0.62,0,0,0
108-118,0,0,0,82.68,2.49,0,0,0,0,3.79,0,0,0,0,0,0,9.58,1.09,0,0,0,0,1.21,0
120,0,0,0,103.64,4.95,0,0,0,0,0,0,0,0,0,0,0,10.56,0,0,2.22,0,0,0,0
