stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,11.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,108.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.67,78.21,0,0,228.42,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,978.66,0,0,0,0,0,21.68,0.92,0,0,0,0,0,0,3.79,0,0,0,9.94,127.89,5.23,0,59.91,9.75,99.1,140.76,6.46,79.38,23.12,0,1.02,0,9.35
 24-34,0,0,0.68,46.85,0,0.62,0,0,1.06,7.47,0,0,1.63,0,0.75,0,0,0.71,0,0,0,24.46,3,0,0,0,0,0,498.89,0,0,2.48,0,2.16,0,1.53
 36-46,0,0,0,0,0,1.64,0,0,0,2.28,0,0,1.76,6.61,0,0,23.58,0.72,0,0,0,15.14,0,0,0,0,9.7,0,381.85,0,0,1.22,0,0,0,2.88
 48-58,0,0,0,0,7.65,5.59,0,0,0,3.42,0,0,10.85,0,3.8,6.3,10.94,2.91,0,0,0,39.1,0,0,0,0,0,0,271.21,0,0,0,0,5.81,0,18.07
 60-70,0,0,0,0,0,8.32,0,1.69,14.53,12.75,0,0,19.76,3.85,4.25,3.79,23.59,8.05,0,0,0,75.81,0,0,0.77,0,0,0,261.48,0,0,11.72,0,18.24,0,40.23
 72-82,0,2.26,0,2.93,0,25.54,2.55,0,62.88,66.94,0,1.25,31.33,7.61,0.51,0,9.34,27.32,0,0,0,90.92,0,0.95,0,0,5.51,0,300.8,1.29,0,6.89,0.67,52.99,0,97.72
 84-94,0,0,0.6,2.39,1.52,19.17,0,0,102.7,153.33,0,0,37.92,2.23,1.31,16.66,16.31,24.8,0,0,0,51.64,0.67,0,1.36,0,0.65,0,842.3,2.7,0,5.4,0,69.93,0,85.67
 96-106,0,2.2,0,2.61,11.38,44.18,1,1.26,139.18,157.34,0,0,94.1,0,1.38,9.15,21.41,27.18,2.26,5.76,3.99,100.43,0,1.96,0,0,15.27,0,678.05,4.86,0,11.34,3.28,120.12,2.42,48.77
108-118,0,0,1.19,0,3.45,22.11,2.6,0,375.36,151.66,0,0,86.55,4.27,1.11,12.71,14.81,24.18,1.22,1.84,0,50.56,0,0.49,0,0,56.63,0,648.86,4.18,0,0,2.22,57.21,0,116.02
120,0,0,3.17,3.01,0,21.99,0,0,533,121.6,0,0,133.27,11.19,0,0,0,22.68,0,0,0,63.51,4.62,0,0,0,42.81,0,378.6,0,0,0,1.81,87.35,0,21.24
