stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,61.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.96,0,0,0,9.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.53,4.69,0,0,373.36,0,0,9.13,0,0,324.71,0,0,0,0,0
 14-21,0,0.94,6.68,0,1.66,0,0,0,0,36.31,0,0,0,0,5.28,0,0,22.32,38.87,1.8,0,0,31.87,0,1.11,120.08,0.86,961.58,7039.19,8.08,0,0,0,0
 24-34,0,0,2.39,0,8.43,19.88,0,0,0.78,39.64,1.36,0,0,0,16.75,0,0,45.35,117.16,2.54,0,0,0,0,8.86,6.12,0,169.68,2200.58,33.65,0,13.72,0,0
 36-46,0,0,0,0,9.19,43.48,0.58,0,4.69,10.03,0,0,0,0,3.98,0,0,25.77,50.17,0,3.1,0,0,0,0,0,0,36.38,34.04,12.84,0.62,1.65,0,0
 48-58,0,0,1.57,0,13.52,26.54,0,0,4.25,6.29,0,0,0,0,5.23,0,0,67.52,43.67,1.74,1.25,0,0,0,3.75,0,0,12.05,0,7.55,0,0,0,0
 60-70,0,0,0,0,17.93,51.55,0,0.86,0,3.04,0,0.59,0,0,10.67,0,7.65,79.71,35,0,0,0,0,0,0,0,0,5.12,0,0,11.66,0,32.05,3.78
 72-82,0,0,0.51,5.79,8.57,43.59,0,0,11.13,1.46,0,0,0,0,1.13,0,6.76,56.65,26.9,0,0,0,0,0,0,0,0,17.64,0,1.77,20.09,0.93,95.18,0
 84-94,0,0,0,4.59,6.83,48.29,0,0.83,2.81,2.19,0,0,0,0,5.93,0,5.27,69.34,15.56,0,0,0,0,0,0,0,0,6.06,0,0,38.39,0,108.24,0
 96-106,0,0,1.43,0,32.97,39.63,0,0,0,7.23,0.6,0.74,0.91,0,7.94,0,2.6,98.71,22.54,0,0,0,0,4.63,1.75,0,0,13.46,0,0,53.65,7.54,191.19,0
108-118,0,0,0,0.66,23.14,26.61,0,0,2.02,1.58,0.44,0,0,0,24.48,3.15,4.43,69.65,23.58,0,0,0.43,0,0,5.99,0,0,7.73,0,0,41.89,0.8,120.67,0
120,0,0,6.54,8.94,1.18,20.43,0,0,0,0,0,0,0,3.24,1.64,0,0,96.73,25.72,0,0,0,0,0,0,0,0,1.42,0,0,9.56,0,164.64,0
