stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,272.55,3875.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.78,0,0,0,0,0,0,0,0,0,0
  5-6,96.15,1968.32,0,0,0,0,0,0,0,0,0,0,0,39.08,0,0,0,0,0,0,0,0,0,0,0,103.31,0,0,0,17.07,0,47.87,0,0,0,0,0,0,0,0,0,0
  7-9,19.47,30.54,0,18.85,0,0,0,117.43,0,0,0,0,0,41.01,0,0,0,0,0,0,0,0,0,0,0,502.7,17.82,0,0,87.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.98,0,54.35,0,20.3,0,100.67,0,0,0,0,0,10.74,0,0,0,0,0,0,0,0,0,0,0,1291.83,43.67,0,0,124.2,0,0,25.02,0,65.16,4.93,0,0,0,0,0,0
 14-21,0,0,0,18.91,367.17,43.94,0,78.97,0,0,0,10.16,9.13,2.1,0,0,6.18,0,0.84,0,0,38.64,1.02,0,26.57,816.79,18.71,32.31,48.72,12.36,0,18.75,28.27,18.5,23.43,23.51,199.86,0,0,7.06,0,0
 24-34,0,0,1.6,6.2,67.94,3.23,0,88.29,0,5.6,0,15.24,10.22,0,0,0,3.97,1.45,9.91,6.95,0,42.79,0.81,0,24.25,732.86,0,91.14,73.53,0,0,36.91,1.47,1.1,2.12,3.13,195.91,0,0,21.63,0,0
 36-46,0,0,0.95,2.03,54.68,0,0,72.5,0,0,1.21,54.19,4.36,0,0.73,3.42,0.65,0,15.27,9.83,0,42.03,0,0.95,9.9,523.74,1.14,44.05,116.26,0,0,11.39,0.81,0,6.56,0,121.79,0,0,0.91,0,0
 48-58,0,0,0,0.9,20.16,0,0,112.02,0,5.69,0,80.79,2.95,0,1.08,0,1.01,0,23.99,1.28,5.43,41.2,0,1.21,4.77,464.81,0,57.34,88.36,0,0,20.05,0,0,17.11,0,85.43,0,0,6.66,0,0.39
 60-70,0,0,0,0,38.83,0,0,372.95,0,9.87,2.6,67.81,39.61,0,0,0,15.46,0,89.7,14.44,0,77.91,0,5.34,5.21,538.81,1.26,84,210.71,0,1.65,30.87,0,0,7.59,0,77.81,0,2.2,9.84,0,0
 72-82,0,0,4.01,0,30.04,8.66,0,328.61,39.51,5.17,2.62,66.53,78.58,0,0.89,0.58,131.14,0,129.62,1.75,0,85.32,1.81,1.1,8.45,404.94,0.58,242.8,282.44,0,0,17.37,0,0,72.86,0,34.17,1.16,5.28,0.66,0.52,0
 84-94,0,0,2.13,19.33,50.83,1.48,0,268.11,0,8.39,5.91,50.51,127.59,0,0,2.47,145.51,0.82,209.16,2.17,0,114.58,0.78,7.96,3.67,284.33,0,243.41,465.26,0,0,50.53,0,0,13.41,0,12.27,51.03,2.96,14.4,3.31,0
 96-106,0,0,12.21,46.97,33.66,22.28,0,267.68,0,19.79,3.29,86.93,576.37,0,0,6.27,57.32,1.49,476.78,24.85,0.98,89.22,3.49,3.27,2.93,438.32,0,535.92,696.62,0,0,47.23,0,0,170.98,0,17.45,4.85,12.34,11.49,3.55,0
108-118,0,0,4.38,78.5,54.62,4.23,5.08,270.93,0,40.06,3.97,80.52,799.86,0,0,2.22,341.83,2.51,342.82,38.23,1.02,119.59,1.81,4.28,12.43,494.31,3.99,396.12,626.54,0,3.38,38.83,0.42,0,65.41,0,31.2,14.34,9.26,7.22,3.07,0
120,0,0,0,41.38,64.84,3.25,0,205.9,0,25.98,0,163.46,570.76,0,0,15.59,389.91,0,402.67,40.9,0,134.59,0,8.17,4.5,516.11,6.72,642.36,1020.88,0,0,27,1.53,0,43.52,0,27.21,3.82,0,3.93,1.99,6.96
