stage,epidermis,eye,glial,heart,immune,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.86,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,1.54,3.83,0,0,0,0,0
 24-34,1.44,0,0,0,0,0,0,0,0,0,0.59,39.28,1.58,0,0,0,0,8.1,0,0,5.34,0,0
 36-46,3.92,4.24,0,0.69,0,0,0,2.23,0,0,0,35.05,2.04,0,0,0,0,8.05,0,0,0,0,0
 48-58,0,4.77,1.48,0,0,0,0,4.32,0,0,0,75.36,1.76,0,0,0,0,20.97,0,0,0.62,0,1.78
 60-70,0,14.02,4.8,0,0,0,0,10.54,1.14,0,0,124.65,0.74,0,0,0,0,23.52,0,0,0.88,0,0
 72-82,0.96,21.48,19.49,0,0,0,1.89,10.5,0,0,0,125.27,1.65,0,0,0,0,18.97,0,0,0,1.41,0
 84-94,3.86,8.45,33.25,0.78,1.88,0,0,10.29,0,3.37,1.19,65.87,6.4,0,0,0,0,9.8,0,0,0,0,1.9
 96-106,0.86,6.25,25.55,0,0,1.03,0,5.15,0,0,0,104.53,5.78,0,0.93,0,0,9.11,0,0,4.48,0.68,0
108-118,1.04,20.79,38.13,2.95,0,0,0,14.27,0,0,0,91.6,4.14,1.6,0.54,0,0,3.57,0.68,1.3,0,0,2.16
120,4.61,17.7,50.05,0,3.81,0,0,25.96,0,0,0,155.88,5.12,0,0,2.12,0,3.65,0,0,0,0,0
