stage,epidermis,eye,gut,immune,ionocyte,lateral.line,mucous,neural,notochord,periderm
  5-6,0,0,0,0,0,0,0,0,0,34.25
  7-9,0,7.99,0,0,0,0,0,7.24,0,16.1
 10-12,0,0,0,0,0,0,0,3.54,0,4.05
 24-34,0,0,0,0,0,0,0,1.07,0,0
 36-46,0,0,0,0,6.63,0.72,7.68,0,0,0
 48-58,0,0,0,0,0.93,0,0,0,0,0
 60-70,0,0,0,0,0.57,0,0,0,0,0
 72-82,2.95,1.53,0.51,0,4.07,0.67,0,0.74,0,0
 84-94,0,0,0,0,2.96,4.09,0.58,1.88,0,0
 96-106,2.39,0,1.19,0,3.57,1.17,2.71,8.71,0,0
108-118,2.83,0,0,0,8.56,0.76,0,0,0.45,0
120,3.21,0,1.62,180.08,8.83,63.47,0,0,0,0
