stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,176.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.03,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.94,236.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.3,21.91,0,12.21,0,0,0,32.31,0,0,0,0,11.63,0,0,0,0,0,0,0,0,0,0,232.53,11.67,0,0,88.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,17.37,0,0,0,46.18,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,283.43,13.33,0,0,69.73,0,3.81,14.56,0,3.51,0,5.3,0,0,0,0,0,0
 14-21,0,0,2.18,0,4.76,2.67,0,5.55,0,0,0.84,0,0,0,0,0,0,0,0,0.87,0,0,5.06,69.79,0.86,1.37,0,0,0,1.48,0,1.11,0,16.05,0.84,14.91,0,0,0,0,0
 24-34,0,0,0,0,3.35,0,0,22.73,1.37,0,3.18,0,0,0,0,0,0,0,0,13.95,0,0,2.07,444.28,1.27,5.59,0.74,0,0,0,0,0,0,0,1.9,60.49,0,0,6.49,0,0
 36-46,0,0,0,0,3.83,0,0,24.53,0,0,10.69,0,0,0,0,0,0,0,0,23.95,0,0,2.81,1277.48,0.62,7.91,0,0,0,0,0,0,0,0,0,160.9,0,0,0.58,0,0
 48-58,0,0,0.46,0,2.95,0,0,89.51,0.37,0.45,29.32,0,0,0,0,0,9.49,0,3.59,29.42,0,0,6.51,1719.88,0,8.11,0.54,0,0,0.58,0,0,0,0,0,218.93,0,0.42,3.72,0,1.91
 60-70,0,0,0.7,0,2.61,0.67,0,219.96,10.1,0.62,78.05,3.45,0,1.29,0.57,0,0.89,0,1.05,57.87,0,4.92,1.79,2461.78,0,2.79,1.81,0,0,9.09,0,0,0,1.01,0,309.66,0,3.93,5.44,1.7,4.09
 72-82,0,0,0.53,0,6.25,1.87,0,181.05,0,6.37,56.09,0.69,0.89,1.15,1.15,0,1.64,0.79,6.63,88.62,0,5.33,7.72,1565.74,0,1.32,1.86,0,0,1.09,0,0,0,0,0,119.52,0,1.98,3.12,1.14,12.69
 84-94,0,0,0,0,10.17,0,0,156.2,1.31,7.48,63.78,0,0,0,1.12,1.56,1.71,3.88,5.31,60,0.75,1.08,2.78,1262.18,0,2.79,1.26,0,5.27,1.25,0,0,0,0,0,166.27,1.79,0,0,0.74,2.67
 96-106,0,0,0,0,7.74,2.7,0,151.16,0.66,8.57,39.32,0.88,0,0,2.81,0.81,2.66,0,1.06,47.67,0,0,1.7,727.22,0.57,11.97,2.11,0,1.36,2.47,0,0,0,0,0,46.35,0,2.55,4.05,0.61,0
108-118,0,0,0.41,0,12.54,3.4,2.84,147.33,0,2.93,39.12,0,0,0.69,1.86,0,3.79,1.66,10.16,84.78,0,4.19,5.66,1019.87,0,2.54,2.2,0,0,0,0,0,1.06,0,0,28.97,0,1.41,1.99,0,1.25
120,0,0,0,0,21.44,0,0,146.58,2.37,12.74,82.32,0,0,3.83,3.58,6.31,2.23,0,0,118.87,0,4.29,2.35,1897.98,1.25,16.29,14.78,0,3.68,0,0,0,3.75,0,0,73.08,0,0,29.29,0,0
