stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.59,0,0,47.01,0,0,0,11.1,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,18.9,19.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,21.91,110.25,7.65,0,0,0,62.36,0,2.49,98.82,0,0,0,1.22,0,0,0,7.1,80.82,1.28,0,38.84,6.45,25.58,15.7,0,0,12.17,3.11,13.3,0,0,31.75,0,0,0,0,0
 24-34,0,0,0,19.11,172.41,0,0,7.89,0,262.33,2.58,26.34,81.24,0,2.94,0,0,0,0.68,2.76,10.15,113.04,0,0,27.69,76.45,84.04,4.37,0,0,19.29,0,36.93,1.98,1.06,78.99,0,0,2.79,0,8.29
 36-46,0,0,0.94,0.56,92.58,0,0,16.16,1.29,134.58,38.82,17.62,16.76,0,2.18,0,1.57,0,0,5.66,2.79,244.08,1.6,21.86,24.86,140.59,91.68,10.34,0,0,31.05,0,15.15,1.69,0,94.16,0,0,0,0,6.68
 48-58,0,0,0.42,1.72,48.84,0,0,96.06,0,150.09,76.25,10.86,7.23,0,0,0,0,5.41,0,4.62,13.83,280.18,0.74,12.37,34.51,340.52,57.54,3.9,0.59,3.2,14.01,0,2.38,0,0,53.33,0,0.51,0,0.9,2.84
 60-70,0,0,0,0,56,0,0,382,0,105.42,123.88,47.59,20.6,0,0,3.85,6.09,6.97,0.84,9.06,3.96,332.75,0.8,35.87,28.55,644.19,48.23,5.54,1.68,0.71,27.83,0,1.33,0,0,123.9,0,7.08,0.84,3.25,7.23
 72-82,0,0,4.47,1.11,45.04,0,0,800.13,0,78.03,128.47,28.74,12.21,0.83,2.11,6.9,1.59,0,0,2.94,17.06,257.3,0,48.14,39.79,805.38,17.73,17.2,4,1.03,14.73,0,0,0.72,0,96,0.5,10.14,0.68,14.07,6.61
 84-94,0,0,8.54,3.11,97.73,0,0,703.56,0,136.32,117.41,22.68,14.15,0,7.62,2.23,7.45,3.33,4.61,10.8,18.79,309.38,0,37.42,16.41,503.55,33.83,3.77,1.55,0,35.14,0,0.73,0,0,95.52,3.73,4.65,2.13,23.06,6.48
 96-106,0,0,7.87,0.75,135.48,9,1.89,851.93,0,95.94,35.33,27.97,14.57,0,10.5,0.63,3.56,13.28,1.31,18.13,1.3,195.26,2.49,20.8,34.68,490.75,20.81,9.66,4.23,0,67.8,0,0.6,0,0,26.78,3.32,11.49,4.68,10.12,7.57
108-118,0,0,6.12,2,200.53,0.8,1.1,1097.83,0,248.06,72.66,54.38,12.39,0,2.61,1.67,7.68,9.12,0,21.63,14.93,232.11,0.47,44.58,31.25,604.12,24.19,4.06,5.51,3.27,37.03,0,1.14,0,0,38.08,3.9,1.1,1.32,18.9,2.08
120,0,0,6.91,4.41,210.67,3.49,0,792.96,0,240.75,82.32,75.81,6.04,0,1.85,0,1.07,18.96,0,16.01,3.05,209.31,9.21,62.67,20.79,1153.7,51.24,6.79,0,9.96,20.68,0,0,0,0,90.28,0,5.61,0,11.85,0
